compound	DataFilename	SampleName	SampleID	SampleType	Level	Ret.Time	Area	Height	ISTDArea	ISTDHeight	AreaRatio	HeightRatio	Conc.	Std.Conc.	Deviation	%Dev	Accuracy	QCCheckResults	Mark	PeakStart	PeakEnd	T.Plate#	HETP	meter	TailingF.	TailingF(10%)	Resolution	k'	SeparationF.	Area%	Height%	USPWidth	Width(5%)	Width(10%)	Width(50%)	RelativeRetentionTime	Statistic
acetate	2017-10-05_081.lcd	HPLC_HF5.PlateA	HF5.PlateA-F01	Unknown	-----	15.68	7337	352	-----	-----	-----	-----	3.14672	-----	-----	-----	-----	NA	NA	15.292	16.083	12899.65	11.628	85997.67	0.926	0.899	4.901	2.227	1.24	0.2322	0.1593	0.552	0.683	0.626	0.32	1	*
acetate	2017-10-05_082.lcd	HPLC_HF5.PlateA	HF5.PlateA-F02	Unknown	-----	15.668	4363	132	-----	-----	-----	-----	1.87101	-----	-----	-----	-----	NA	NA	14.958	16.258	5022.375	29.866	33482.503	0.821	0.796	3.211	2.219	1.239	0.165	0.0621	0.884	1.016	0.905	0.559	1	*
acetate	2017-10-05_083.lcd	HPLC_HF5.PlateA	HF5.PlateA-F03	Unknown	-----	15.687	19081	917	-----	-----	-----	-----	8.18311	-----	-----	-----	-----	Quant.Range(High)	NA	15.067	16.217	13428.678	11.17	89524.518	0.962	0.991	2.018	1.77	1.116	0.7171	0.4342	0.541	0.744	0.623	0.312	1	*
acetate	2017-10-05_084.lcd	HPLC_HF5.PlateA	HF5.PlateA-F04	Unknown	-----	15.688	20182	956	-----	-----	-----	-----	8.65524	-----	-----	-----	-----	Quant.Range(High)	NA	15.025	16.225	13246.446	11.324	88309.638	0.941	0.979	4.445	1.37	1.303	0.6521	0.4258	0.545	0.764	0.635	0.315	1	*
acetate	2017-10-05_085.lcd	HPLC_HF5.PlateA	HF5.PlateA-F05	Unknown	-----	15.686	15278	749	-----	-----	-----	-----	6.55225	-----	-----	-----	-----	Quant.Range(High)	NA	15.25	16.192	13601.6	11.028	90677.335	0.984	0.994	2.037	1.37	1.127	0.5274	0.3401	0.538	0.709	0.611	0.311	1	*
acetate	2017-10-05_086.lcd	HPLC_HF5.PlateA	HF5.PlateA-F06	Unknown	-----	15.688	16437	786	-----	-----	-----	-----	7.04921	-----	-----	-----	-----	Quant.Range(High)	NA	15.083	16.208	13349.449	11.236	88996.328	0.952	0.983	2.01	2.281	1.105	0.5196	0.3475	0.543	0.748	0.628	0.314	1	*
acetate	2017-10-05_087.lcd	HPLC_HF5.PlateA	HF5.PlateA-F07	Unknown	-----	15.692	18615	869	-----	-----	-----	-----	7.98354	-----	-----	-----	-----	Quant.Range(High)	NA	15.017	16.225	12826.61	11.694	85510.732	0.949	0.983	1.913	1.81	1.114	0.6081	0.4017	0.554	0.771	0.644	0.32	1	*
acetate	2017-10-05_088.lcd	HPLC_HF5.PlateA	HF5.PlateA-F08	Unknown	-----	15.687	8772	411	-----	-----	-----	-----	3.76214	-----	-----	-----	-----	NA	NA	15.058	16.2	13165.27	11.394	87768.468	0.916	0.961	4.01	1.515	1.287	0.3487	0.1969	0.547	0.791	0.648	0.316	1	*
acetate	2017-10-05_089.lcd	HPLC_HF5.PlateA	HF5.PlateA-F09	Unknown	-----	15.688	21496	1014	-----	-----	-----	-----	9.21885	-----	-----	-----	-----	Quant.Range(High)	NA	15.033	16.2	13037.659	11.505	86917.726	0.945	0.98	1.95	1.372	1.13	0.6709	0.4555	0.55	0.763	0.637	0.317	1	*
acetate	2017-10-05_090.lcd	HPLC_HF5.PlateA	HF5.PlateA-F10	Unknown	-----	15.7	27081	1258	-----	-----	-----	-----	11.61421	-----	-----	-----	-----	Quant.Range(High)	NA	14.983	16.283	12880.855	11.645	85872.368	0.956	0.992	2.055	1.764	1.12	0.9915	0.5851	0.553	0.782	0.647	0.32	1	*
acetate	2017-10-05_091.lcd	HPLC_HF5.PlateA	HF5.PlateA-F11	Unknown	-----	15.692	79800	3741	-----	-----	-----	-----	34.22361	-----	-----	-----	-----	Quant.Range(High)	NA	14.958	16.367	13098.053	11.452	87320.356	0.976	1.003	4.182	1.445	1.291	29.2501	26.0444	0.548	0.772	0.64	0.317	1	*
acetate	2017-10-05_092.lcd	HPLC_HF5.PlateA	HF5.PlateA-F12	Unknown	-----	15.69	27804	1297	-----	-----	-----	-----	11.92448	-----	-----	-----	-----	Quant.Range(High)	NA	14.992	16.375	13005.061	11.534	86700.405	0.969	0.998	4.14	1.81	1.264	1.0593	0.6176	0.55	0.779	0.645	0.318	1	*
acetate	2017-10-05_093.lcd	HPLC_HF5.PlateA	HF5.PlateA-G01	Unknown	-----	15.692	28425	1294	-----	-----	-----	-----	12.1907	-----	-----	-----	-----	Quant.Range(High)	NA	14.975	16.35	12554.372	11.948	83695.814	0.951	0.98	3.918	1.82	1.264	0.9747	0.5824	0.56	0.812	0.67	0.323	1	*
acetate	2017-10-05_094.lcd	HPLC_HF5.PlateA	HF5.PlateA-G02	Unknown	-----	15.691	55187	2493	-----	-----	-----	-----	23.66817	-----	-----	-----	-----	Quant.Range(High)	NA	14.95	17.092	12734.275	11.779	84895.165	0.997	1.018	5.263	1.438	1.417	5.6372	6.8372	0.556	0.801	0.655	0.321	1	*
acetate	2017-10-05_095.lcd	HPLC_HF5.PlateA	HF5.PlateA-G03	Unknown	-----	15.697	22988	1053	-----	-----	-----	-----	9.85903	-----	-----	-----	-----	Quant.Range(High)	NA	15.008	16.35	12601.681	11.903	84011.209	0.953	0.988	3.902	1.796	1.265	0.8466	0.4944	0.559	0.805	0.664	0.323	1	*
acetate	2017-10-05_096.lcd	HPLC_HF5.PlateA	HF5.PlateA-G04	Unknown	-----	15.685	77502	3025	-----	-----	-----	-----	33.23803	-----	-----	-----	-----	Quant.Range(High)	TV 	14.8	16.45	10198.318	14.708	67988.785	0.874	0.864	--	1.526	1.104	2.8804	1.4051	0.621	0.949	0.811	0.359	1	*
acetate	2017-10-05_097.lcd	HPLC_HF5.PlateA	HF5.PlateA-G05	Unknown	-----	15.41	3301	140	-----	-----	-----	-----	1.41553	-----	-----	-----	-----	NA	NA	14.942	15.983	9390.912	15.973	62606.08	1.081	1.108	3.322	1.73	1.233	0.0888	0.0611	0.636	0.799	0.699	0.365	1	*
acetate	2017-10-05_098.lcd	HPLC_HF5.PlateA	HF5.PlateA-G06	Unknown	-----	15.413	6596	290	-----	-----	-----	-----	2.82876	-----	-----	-----	-----	NA	NA	14.892	15.992	10505.685	14.278	70037.899	1.049	1.067	3.352	1.733	1.234	0.1821	0.1271	0.602	0.773	0.67	0.349	1	*
acetate	2017-10-05_099.lcd	HPLC_HF5.PlateA	HF5.PlateA-G07	Unknown	-----	15.416	4523	200	-----	-----	-----	-----	1.93976	-----	-----	-----	-----	NA	NA	14.95	15.933	10289.184	14.578	68594.558	1.057	1.08	3.358	2.185	1.211	0.1285	0.09	0.608	0.75	0.661	0.351	1	*
acetate	2017-10-05_100.lcd	HPLC_HF5.PlateA	HF5.PlateA-G08	Unknown	-----	15.417	3460	126	-----	-----	-----	-----	1.48384	-----	-----	-----	-----	NA	NA	14.983	16.367	7538.311	19.898	50255.406	1.511	1.3	2.915	2.221	1.211	0.0969	0.0566	0.71	1.077	0.821	0.41	1	*
acetate	2017-10-05_101.lcd	HPLC_HF5.PlateA	HF5.PlateA-G09	Unknown	-----	15.413	2418	101	-----	-----	-----	-----	1.03715	-----	-----	-----	-----	NA	NA	14.95	16.1	9413.122	15.935	62754.147	1.117	1.116	3.474	1.735	1.234	0.0682	0.0454	0.635	0.818	0.707	0.367	1	*
acetate	2017-10-05_102.lcd	HPLC_HF5.PlateA	HF5.PlateA-G10	Unknown	-----	15.432	3916	138	-----	-----	-----	-----	1.67944	-----	-----	-----	-----	NA	NA	14.992	16.325	6108.18	24.557	40721.2	1.299	1.283	3.38	2.218	1.21	0.1161	0.0616	0.79	0.955	0.82	0.449	1	*
acetate	2017-10-05_103.lcd	HPLC_HF5.PlateA	HF5.PlateA-G11	Unknown	-----	15.689	52714	2437	-----	-----	-----	-----	22.60729	-----	-----	-----	-----	Quant.Range(High)	NA	15	16.4	12694.452	11.816	84629.68	1.01	1.035	5.197	1.442	1.416	6.3306	7.9022	0.557	0.779	0.648	0.322	1	*
acetate	2017-10-05_104.lcd	HPLC_HF5.PlateA	HF5.PlateA-G12	Unknown	-----	15.689	49624	2304	-----	-----	-----	-----	21.28228	-----	-----	-----	-----	Quant.Range(High)	NA	15	16.417	12819.139	11.701	85460.928	1.011	1.034	3.93	1.756	1.267	19.4749	17.3932	0.554	0.778	0.646	0.32	1	*
acetate	2017-10-05_105.lcd	HPLC_HF5.PlateA	HF5.PlateA-H01	Unknown	-----	15.688	27283	1220	-----	-----	-----	-----	11.70094	-----	-----	-----	-----	Quant.Range(High)	NA	14.958	16.325	12031.443	12.467	80209.618	0.964	0.997	4.129	1.527	1.285	0.9886	0.5635	0.572	0.826	0.684	0.329	1	*
acetate	2017-10-05_106.lcd	HPLC_HF5.PlateA	HF5.PlateA-H02	Unknown	-----	15.685	171310	7736	-----	-----	-----	-----	73.4695	-----	-----	-----	-----	Quant.Range(High)	NA	14.9	16.367	12275.625	12.219	81837.501	1.016	1.041	3.946	1.425	1.293	32.53	26.9263	0.566	0.807	0.667	0.327	1	*
acetate	2017-10-05_107.lcd	HPLC_HF5.PlateA	HF5.PlateA-H03	Unknown	-----	15.687	24377	1017	-----	-----	-----	-----	10.45468	-----	-----	-----	-----	Quant.Range(High)	NA	14.867	16.358	11128.429	13.479	74189.527	0.913	0.919	1.949	1.451	1.122	10.1079	7.6994	0.595	0.912	0.766	0.342	1	*
acetate	2017-10-05_108.lcd	HPLC_HF5.PlateA	HF5.PlateA-H04	Unknown	-----	15.684	34229	1396	-----	-----	-----	-----	14.67988	-----	-----	-----	-----	Quant.Range(High)	NA	14.875	16.342	10799.147	13.89	71994.31	0.86	0.862	4.079	2.277	1.242	4.2044	4.1862	0.604	0.922	0.784	0.348	1	*
acetate	2017-10-05_109.lcd	HPLC_HF5.PlateA	HF5.PlateA-H05	Unknown	-----	15.683	45517	1904	-----	-----	-----	-----	19.52069	-----	-----	-----	-----	Quant.Range(High)	 V 	14.875	16.375	11314.5	13.257	75429.999	0.88	0.887	1.43	2.273	1.1	6.2984	6.3866	0.59	0.902	0.758	0.34	1	*
acetate	2017-10-05_110.lcd	HPLC_HF5.PlateA	HF5.PlateA-H06	Unknown	-----	15.685	57221	2610	-----	-----	-----	-----	24.54049	-----	-----	-----	-----	Quant.Range(High)	NA	14.992	16.592	12539.976	11.962	83599.837	1.016	1.034	3.726	1.723	1.27	19.6121	16.6979	0.56	0.801	0.662	0.323	1	*
acetate	2017-10-05_111.lcd	HPLC_HF5.PlateA	HF5.PlateA-H07	Unknown	-----	15.683	46941	2147	-----	-----	-----	-----	20.13164	-----	-----	-----	-----	Quant.Range(High)	NA	14.967	16.408	12549.894	11.952	83665.961	0.996	1.025	4.403	1.446	1.294	6.5882	8.0978	0.56	0.798	0.659	0.323	1	*
acetate	2017-10-05_112.lcd	HPLC_HF5.PlateA	HF5.PlateA-H08	Unknown	-----	15.68	55819	2562	-----	-----	-----	-----	23.93918	-----	-----	-----	-----	Quant.Range(High)	NA	14.925	16.408	12577.988	11.926	83853.257	1.009	1.033	4.583	1.44	1.295	7.1785	8.3999	0.559	0.791	0.656	0.323	1	*
acetate	2017-10-05_113.lcd	HPLC_HF5.PlateA	HF5.PlateA-H09	Unknown	-----	15.682	53959	2467	-----	-----	-----	-----	23.14145	-----	-----	-----	-----	Quant.Range(High)	NA	14.983	16.325	12571.374	11.932	83809.162	1.014	1.036	3.912	1.43	1.293	18.4334	14.8542	0.559	0.797	0.658	0.323	1	*
acetate	2017-10-05_114.lcd	HPLC_HF5.PlateA	HF5.PlateA-H10	Unknown	-----	15.683	39848	1809	-----	-----	-----	-----	17.08938	-----	-----	-----	-----	Quant.Range(High)	NA	14.95	16.408	12515.308	11.985	83435.388	1.03	1.045	3.943	1.431	1.292	19.2475	15.6001	0.561	0.814	0.667	0.324	1	*
acetate	2017-10-05_115.lcd	HPLC_HF5.PlateA	HF5.PlateA-H11	Unknown	-----	15.674	28579	1309	-----	-----	-----	-----	12.2566	-----	-----	-----	-----	Quant.Range(High)	NA	15.025	16.358	12479.348	12.02	83195.653	1.012	1.038	3.913	1.747	1.268	1.0565	0.6158	0.561	0.797	0.662	0.324	1	*
acetate	2017-10-05_116.lcd	HPLC_HF5.PlateA	HF5.PlateA-H12	Unknown	-----	-----	NA	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	NA	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	NA	*
acetate	2017-10-05_117.lcd	Water	BLANK	Unknown	-----	-----	NA	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	NA	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	NA	*
acetate	2017-10-05_118.lcd	40 mM Mix	STD-0111	Unknown	-----	15.68	313113	13857	-----	-----	-----	-----	134.28463	-----	-----	-----	-----	Quant.Range(High)	 V 	15.008	16.958	12186.673	12.309	81244.486	1.061	1.084	2.438	1.452	1.167	1.6092	1.6996	0.568	0.831	0.679	0.327	1	*
acetate	2017-10-05_119.lcd	20 mM Mix	STD-0112	Unknown	-----	15.684	149532	6737	-----	-----	-----	-----	64.12971	-----	-----	-----	-----	Quant.Range(High)	 V 	14.992	16.85	12370.456	12.126	82469.705	1.046	1.067	2.466	1.451	1.168	1.5695	1.6642	0.564	0.811	0.667	0.325	1	*
acetate	2017-10-05_120.lcd	10 mM Mix	STD-0113	Unknown	-----	15.684	74351	3376	-----	-----	-----	-----	31.88671	-----	-----	-----	-----	Quant.Range(High)	 V 	15.008	16.592	12460.891	12.038	83072.608	1.041	1.061	2.477	1.454	1.168	1.528	1.6133	0.562	0.802	0.663	0.324	1	*
acetate	2017-10-05_121.lcd	5 mM Mix	STD-0114	Unknown	-----	15.686	36905	1669	-----	-----	-----	-----	15.82751	-----	-----	-----	-----	Quant.Range(High)	 V 	14.958	16.558	12441.446	12.056	82942.971	1.036	1.059	2.475	1.46	1.168	1.5458	1.6273	0.563	0.808	0.665	0.324	1	*
acetate	2017-10-05_122.lcd	2.5 mM Mix	STD-0115	Unknown	-----	15.686	17650	813	-----	-----	-----	-----	7.56935	-----	-----	-----	-----	Quant.Range(High)	NA	15.075	16.392	12541.921	11.96	83612.807	1.043	1.06	2.493	1.224	1.183	1.4632	1.576	0.56	0.784	0.654	0.323	1	*
acetate	2017-10-05_123.lcd	1 mM Mix	STD-0116	Unknown	-----	15.685	7003	325	-----	-----	-----	-----	3.00331	-----	-----	-----	-----	NA	NA	15.142	16.317	12593.786	11.911	83958.57	1.058	1.065	2.498	1.224	1.183	1.4435	1.5143	0.559	0.77	0.647	0.322	1	*
acetate	2017-10-05_124.lcd	0.5 mM Mix	STD-0117	Unknown	-----	15.687	3167	150	-----	-----	-----	-----	1.35821	-----	-----	-----	-----	NA	NA	15.225	16.217	13145.39	11.411	87635.935	1.072	1.083	2.531	1.224	1.183	1.3503	1.4262	0.547	0.74	0.635	0.318	1	*
acetate	2017-10-05_125.lcd	0.25 mM Mix	STD-0118	Unknown	-----	15.691	1717	82	-----	-----	-----	-----	0.73639	-----	-----	-----	-----	NA	NA	15.267	16.192	13074.108	11.473	87160.723	1.05	1.042	2.573	1.223	1.184	1.3165	1.387	0.549	0.732	0.627	0.321	1	*
acetate	2017-10-05_126.lcd	0.1 mM Mix	STD-0119	Unknown	-----	15.685	645	31	-----	-----	-----	-----	0.27666	-----	-----	-----	-----	NA	NA	15.367	16.142	12795.676	11.723	85304.51	1.218	1.154	2.634	1.223	1.182	1.0358	1.0638	0.555	0.681	0.598	0.323	1	*
butyrate	2017-10-05_000.lcd	No injection	BLANK	Unknown	-----	-----	NA	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	NA	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	NA	*
butyrate	2017-10-05_001.lcd	40 mM Mix	STD-0111	Unknown	-----	22.811	634509	19651	-----	-----	-----	-----	0	-----	-----	-----	-----	NA	 V 	21.658	24.233	12664.521	11.844	84430.14	0.963	1.016	2.553	2.607	1.137	3.2437	2.2853	0.811	1.195	0.968	0.471	1.454	*
butyrate	2017-10-05_002.lcd	20 mM Mix	STD-0112	Unknown	-----	22.857	297190	9205	-----	-----	-----	-----	0	-----	-----	-----	-----	NA	 V 	21.658	24.267	12798.501	11.72	85323.34	0.933	0.98	2.565	2.585	1.138	3.0968	2.1797	0.808	1.192	0.964	0.469	1.457	*
butyrate	2017-10-05_003.lcd	10 mM Mix	STD-0113	Unknown	-----	22.877	136352	4245	-----	-----	-----	-----	0	-----	-----	-----	-----	NA	 V 	21.633	24.133	13026.522	11.515	86843.477	0.914	0.959	2.59	2.598	1.138	2.8523	1.9889	0.802	1.183	0.957	0.466	1.458	*
butyrate	2017-10-05_004.lcd	5 mM Mix	STD-0114	Unknown	-----	22.885	70920	2215	-----	-----	-----	-----	0	-----	-----	-----	-----	NA	 V 	21.625	23.892	13120.922	11.432	87472.812	0.907	0.951	2.598	2.608	1.138	2.8926	2.0269	0.799	1.172	0.951	0.464	1.458	*
butyrate	2017-10-05_005.lcd	2.5 mM Mix	STD-0115	Unknown	-----	22.887	33537	1067	-----	-----	-----	-----	0	-----	-----	-----	-----	NA	 V 	22.167	23.975	13061.48	11.484	87076.533	0.871	0.944	0.571	2.245	1.062	2.7799	1.9706	0.801	1.239	0.956	0.465	1.458	*
butyrate	2017-10-05_006.lcd	1 mM Mix	STD-0116	Unknown	-----	22.89	12084	391	-----	-----	-----	-----	0	-----	-----	-----	-----	NA	 V 	22.183	23.642	13203.5	11.361	88023.331	0.913	0.958	--	2.245	1.047	2.3679	1.6987	0.797	1.137	0.931	0.464	1.458	*
butyrate	2017-10-05_007.lcd	0.5 mM Mix	STD-0117	Unknown	-----	22.891	5025	171	-----	-----	-----	-----	0	-----	-----	-----	-----	NA	NA	22.217	23.533	14023.395	10.696	93489.302	0.956	0.984	2.674	2.247	1.145	2.0963	1.5162	0.773	1.005	0.864	0.453	1.459	*
butyrate	2017-10-05_008.lcd	0.25 mM Mix	STD-0118	Unknown	-----	22.898	3123	109	-----	-----	-----	-----	0	-----	-----	-----	-----	NA	NA	22.35	23.542	14365.139	10.442	95767.596	1.031	1.017	2.705	2.246	1.145	2.2996	1.725	0.764	0.954	0.832	0.447	1.458	*
butyrate	2017-10-05_009.lcd	0.1 mM Mix	STD-0119	Unknown	-----	22.898	1130	43	-----	-----	-----	-----	0	-----	-----	-----	-----	NA	NA	22.4	23.333	18005.716	8.331	120038.106	0.955	0.987	2.88	2.246	1.146	1.7278	1.4075	0.683	0.824	0.748	0.413	1.458	*
butyrate	2017-10-05_010.lcd	Water	BLANK	Unknown	-----	-----	NA	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	NA	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	NA	*
butyrate	2017-10-05_011.lcd	HPLC_HF5.PlateA	HF5.PlateA-A01	Unknown	-----	-----	NA	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	NA	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	NA	*
butyrate	2017-10-05_012.lcd	HPLC_HF5.PlateA	HF5.PlateA-A02	Unknown	-----	-----	NA	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	NA	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	NA	*
butyrate	2017-10-05_013.lcd	HPLC_HF5.PlateA	HF5.PlateA-A03	Unknown	-----	-----	NA	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	NA	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	NA	*
butyrate	2017-10-05_014.lcd	HPLC_HF5.PlateA	HF5.PlateA-A04	Unknown	-----	-----	NA	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	NA	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	NA	*
butyrate	2017-10-05_015.lcd	HPLC_HF5.PlateA	HF5.PlateA-A05	Unknown	-----	22.904	443	18	-----	-----	-----	-----	0	-----	-----	-----	-----	NA	NA	22.575	23.425	19977.059	7.509	133180.393	1.223	1.184	1.531	3.806	1.056	0.0131	0.0078	0.648	0.77	0.692	0.396	1.461	*
butyrate	2017-10-05_016.lcd	HPLC_HF5.PlateA	HF5.PlateA-A06	Unknown	-----	22.94	249	12	-----	-----	-----	-----	0	-----	-----	-----	-----	NA	NA	22.658	23.3	29130.808	5.149	194205.385	1.135	1.138	1.742	3.805	1.059	0.0072	0.0052	0.538	0.61	0.583	0.347	1.464	*
butyrate	2017-10-05_017.lcd	HPLC_HF5.PlateA	HF5.PlateA-A07	Unknown	-----	22.915	336	14	-----	-----	-----	-----	0	-----	-----	-----	-----	NA	NA	22.567	23.283	23557.555	6.367	157050.367	1.018	1.018	1.642	2.458	1.064	0.0114	0.0063	0.597	0.669	0.637	0.377	1.46	*
butyrate	2017-10-05_018.lcd	HPLC_HF5.PlateA	HF5.PlateA-A08	Unknown	-----	22.904	998	41	-----	-----	-----	-----	0	-----	-----	-----	-----	NA	NA	22.567	23.358	18964.195	7.91	126427.969	1.139	1.122	1.499	3.106	1.06	0.0318	0.0182	0.665	0.721	0.67	0.404	1.46	*
butyrate	2017-10-05_019.lcd	HPLC_HF5.PlateA	HF5.PlateA-A09	Unknown	-----	22.894	301	13	-----	-----	-----	-----	0	-----	-----	-----	-----	NA	NA	22.592	23.317	25832.022	5.807	172213.479	1.166	1.095	1.741	2.46	1.063	0.011	0.0062	0.57	0.653	0.587	0.384	1.46	*
butyrate	2017-10-05_020.lcd	HPLC_HF5.PlateA	HF5.PlateA-A10	Unknown	-----	22.885	2144	79	-----	-----	-----	-----	0	-----	-----	-----	-----	NA	NA	22.433	23.525	16168.463	9.277	107789.756	1.092	1.073	1.5	2.459	1.063	0.0701	0.0355	0.72	0.859	0.763	0.433	1.459	*
butyrate	2017-10-05_021.lcd	HPLC_HF5.PlateA	HF5.PlateA-A11	Unknown	-----	22.913	717	29	-----	-----	-----	-----	0	-----	-----	-----	-----	NA	NA	22.508	23.442	18065.399	8.303	120435.996	1.1	1.01	1.489	3.769	1.058	0.021	0.0121	0.682	0.806	0.702	0.41	1.461	*
butyrate	2017-10-05_022.lcd	HPLC_HF5.PlateA	HF5.PlateA-A12	Unknown	-----	22.86	1206	53	-----	-----	-----	-----	0	-----	-----	-----	-----	NA	NA	22.583	23.367	21350.964	7.025	142339.759	1.28	1.245	1.45	3.045	1.055	0.0496	0.0261	0.626	0.676	0.63	0.376	1.459	*
butyrate	2017-10-05_023.lcd	HPLC_HF5.PlateA	HF5.PlateA-B01	Unknown	-----	-----	NA	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	NA	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	NA	*
butyrate	2017-10-05_024.lcd	HPLC_HF5.PlateA	HF5.PlateA-B02	Unknown	-----	-----	NA	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	NA	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	NA	*
butyrate	2017-10-05_025.lcd	HPLC_HF5.PlateA	HF5.PlateA-B03	Unknown	-----	22.892	1296	54	-----	-----	-----	-----	0	-----	-----	-----	-----	NA	NA	22.417	23.217	19056.401	7.871	127042.675	0.862	0.898	0.699	3.005	1.061	0.0514	0.0255	0.663	0.727	0.65	0.398	1.459	*
butyrate	2017-10-05_026.lcd	HPLC_HF5.PlateA	HF5.PlateA-B04	Unknown	-----	22.891	362	15	-----	-----	-----	-----	0	-----	-----	-----	-----	NA	NA	22.542	23.35	18918.572	7.929	126123.816	1.147	1.127	1.75	3.048	1.099	0.0129	0.0071	0.666	0.723	0.687	0.392	1.459	*
butyrate	2017-10-05_027.lcd	HPLC_HF5.PlateA	HF5.PlateA-B05	Unknown	-----	22.89	4488	164	-----	-----	-----	-----	0	-----	-----	-----	-----	NA	NA	22.333	23.35	15315.81	9.794	102105.403	0.959	0.977	1.543	3.022	1.057	0.1635	0.0751	0.74	0.861	0.776	0.436	1.459	*
butyrate	2017-10-05_028.lcd	HPLC_HF5.PlateA	HF5.PlateA-B06	Unknown	-----	-----	NA	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	NA	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	NA	*
butyrate	2017-10-05_029.lcd	HPLC_HF5.PlateA	HF5.PlateA-B07	Unknown	-----	-----	NA	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	NA	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	NA	*
butyrate	2017-10-05_030.lcd	HPLC_HF5.PlateA	HF5.PlateA-B08	Unknown	-----	-----	NA	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	NA	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	NA	*
butyrate	2017-10-05_031.lcd	HPLC_HF5.PlateA	HF5.PlateA-B09	Unknown	-----	22.903	536	23	-----	-----	-----	-----	0	-----	-----	-----	-----	NA	NA	22.575	23.375	22898.217	6.551	152654.782	1.155	1.137	1.819	2.662	1.064	0.0217	0.0111	0.605	0.695	0.647	0.373	1.46	*
butyrate	2017-10-05_032.lcd	HPLC_HF5.PlateA	HF5.PlateA-B10	Unknown	-----	-----	NA	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	NA	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	NA	*
butyrate	2017-10-05_033.lcd	HPLC_HF5.PlateA	HF5.PlateA-B11	Unknown	-----	22.939	453	19	-----	-----	-----	-----	0	-----	-----	-----	-----	NA	NA	22.55	23.308	18901.512	7.936	126010.078	0.935	0.926	2.017	3.076	1.101	0.0158	0.0091	0.667	0.662	0.628	0.386	1.461	*
butyrate	2017-10-05_034.lcd	HPLC_HF5.PlateA	HF5.PlateA-B12	Unknown	-----	22.894	294	13	-----	-----	-----	-----	0	-----	-----	-----	-----	NA	NA	22.608	23.342	18302.158	8.196	122014.386	1.298	1.3	1.535	2.46	1.064	0.0105	0.0061	0.677	0.671	0.644	0.403	1.459	*
butyrate	2017-10-05_035.lcd	HPLC_HF5.PlateA	HF5.PlateA-C01	Unknown	-----	22.881	1407	53	-----	-----	-----	-----	0	-----	-----	-----	-----	NA	NA	22.458	23.442	16396.012	9.149	109306.748	1.13	1.111	1.623	3.035	1.059	0.0536	0.0251	0.715	0.83	0.752	0.423	1.458	*
butyrate	2017-10-05_036.lcd	HPLC_HF5.PlateA	HF5.PlateA-C02	Unknown	-----	-----	NA	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	NA	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	NA	*
butyrate	2017-10-05_037.lcd	HPLC_HF5.PlateA	HF5.PlateA-C03	Unknown	-----	-----	NA	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	NA	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	NA	*
