"COMP_ID","PATHWAY.SORTORDER","BIOCHEMICAL","SUPERPATHWAY","SUBPATHWAY","PLATFORM","CHEMICAL_ID","RI","MASS","PUBCHEM","CAS","KEGG","HMDB","dir","dir_noFMT","dir_hFMT","dir_healthy"
31555,4448,"pyridoxate","Cofactors and Vitamins","Vitamin B6 Metabolism","LC/MS Neg",100001121,2185,182.0459,"6723","82-82-6","C00847","HMDB0000017","Up in cleared","Up in mFMT","Up in mFMT","Down in mFMT"
31609,4188,"1-methylguanosine","Nucleotide","""Purine Metabolism, Guanine containing""","LC/MS Pos Early",100001122,1980,298.1146,"96373","2140-65-0","","HMDB0001563","Up in cleared","Up in mFMT","Up in mFMT","Down in mFMT"
31850,1769,"butyrylglycine (C4)","Lipid","Fatty Acid Metabolism (also BCAA Metabolism)","LC/MS Neg",100001151,1470,144.0666,"88412","20208-73-5","","HMDB0000808","Up in cleared","Up in mFMT","Up in mFMT","Down in mFMT"
31885,3462,"beta-muricholate","Lipid","Primary Bile Acid Metabolism","LC/MS Neg",100001066,4794,407.2803,"5283853","2393-59-1","C17726","HMDB0000415","Up in cleared","Up in mFMT","Up in mFMT","Up in mFMT"
31889,3499,"taurolithocholate","Lipid","Secondary Bile Acid Metabolism","LC/MS Neg",100001065,5345,482.2946,"439763","516-90-5","C02592","HMDB0000722","Up in cleared","Up in mFMT","Up in mFMT","Up in mFMT"
31891,3518,"dehydrolithocholate","Lipid","Secondary Bile Acid Metabolism","LC/MS Neg",100001067,5360,373.2748,"5283906","1553-56-6","","HMDB00502","Up in cleared","Up in mFMT","Up in mFMT","Down in mFMT"
31904,3535,"7-ketodeoxycholate","Lipid","Secondary Bile Acid Metabolism","LC/MS Neg",100001063,4821,405.2646,"188292","911-40-0","","HMDB0000391","Up in cleared","Up in mFMT","Up in mFMT","Up in mFMT"
31906,3519,"""7,12-diketolithocholate""","Lipid","Secondary Bile Acid Metabolism","LC/MS Neg",100001070,4215,403.249,"3080560","517-33-9","","","Up in cleared","Down in mFMT","Up in mFMT","Down in mFMT"
31932,1772,"propionylglycine (C3)","Lipid","Fatty Acid Metabolism (also BCAA Metabolism)","LC/MS Polar",100001150,1502.5,130.051,"98681","21709-90-0","","HMDB0000783","Up in cleared","Up in mFMT","Down in mFMT","Down in mFMT"
31943,1984,"3-hydroxysebacate","Lipid","""Fatty Acid, Monohydroxy""","LC/MS Neg",100001145,1282,217.1081,"3017884","73141-46-5","","HMDB0000350","Up in cleared","Up in mFMT","Down in mFMT","Down in mFMT"
32197,181,"3-(4-hydroxyphenyl)lactate (HPLA)","Amino Acid","Tyrosine Metabolism","LC/MS Neg",240,1379,181.0506,"9378","6482-98-0","C03672","HMDB0000755","Down in cleared","Down in mFMT","Down in mFMT","Down in mFMT"
32198,1840,"acetylcarnitine (C2)","Lipid","""Fatty Acid Metabolism (Acyl Carnitine, Short Chain)""","LC/MS Pos Early",100000802,2282,204.123,"7045767","5080-50-2","C02571","HMDB0000201","Down in cleared","Down in mFMT","Down in mFMT","Down in mFMT"
32306,513,"hydroxyproline","Amino Acid","Urea cycle; Arginine and Proline Metabolism","LC/MS Pos Early",1001,1064,132.0655,"5810","51-35-4","C01157","HMDB0000725","Up in cleared","Up in mFMT","Down in mFMT","Down in mFMT"
32342,4137,"AMP","Nucleotide","""Purine Metabolism, Adenine containing""","LC/MS Pos Early",209,1013,348.0704,"6083","149022-20-8","C00020","HMDB0000045","Up in cleared","Up in mFMT","Up in mFMT","Down in mFMT"
32349,97,"4-imidazoleacetate","Amino Acid","Histidine Metabolism","LC/MS Pos Early",100001207,2055,127.0502,"96215","645-65-8","C02835","HMDB0002024","Down in cleared","Down in mFMT","Down in mFMT","Up in mFMT"
32350,91,"1-methyl-4-imidazoleacetate","Amino Acid","Histidine Metabolism","LC/MS Pos Early",100001208,2064,141.0659,"75810","2625-49-2","C05828","HMDB0002820","Up in cleared","Up in mFMT","Down in mFMT","Down in mFMT"
32352,4181,"guanine","Nucleotide","""Purine Metabolism, Guanine containing""","LC/MS Pos Early",172,2032,152.0567,"135398634","73-40-5","C00242","HMDB0000132","Up in cleared","Up in mFMT","Up in mFMT","Down in mFMT"
32377,1418,"N-acetylneuraminate","Carbohydrate","Aminosugar Metabolism","LC/MS Pos Early",1162,660,310.1133,"439197","131-48-6","C00270","HMDB0000230","Up in cleared","Down in mFMT","Up in mFMT","Up in mFMT"
32388,1686,"dodecanedioate (C12)","Lipid","""Fatty Acid, Dicarboxylate""","LC/MS Neg",100001102,2990,229.1445,"12736","693-23-2","C02678","HMDB0000623","Up in cleared","Up in mFMT","Up in mFMT","Down in mFMT"
32390,163,"N-acetyltyrosine","Amino Acid","Tyrosine Metabolism","LC/MS Neg",100001104,1680,222.0772,"68310","537-55-3","","HMDB0000866","Down in cleared","Down in mFMT","Down in mFMT","Down in mFMT"
32398,1681,"sebacate (C10-DC)","Lipid","""Fatty Acid, Dicarboxylate""","LC/MS Neg",100001211,1788,201.1132,"5192","111-20-6","C08277","HMDB0000792","Up in cleared","Up in mFMT","Up in mFMT","Down in mFMT"
32401,4320,"trigonelline (N'-methylnicotinate)","Cofactors and Vitamins","Nicotinate and Nicotinamide Metabolism","LC/MS Pos Early",100001092,1388,138.055,"5570","535-83-1","C01004","HMDB0000875","Down in cleared","Down in mFMT","Down in mFMT","Down in mFMT"
32405,305,"indolepropionate","Amino Acid","Tryptophan Metabolism","LC/MS Neg",100001083,2795,188.0717,"3744","830-96-6","","HMDB0002302","Up in cleared","Up in mFMT","Up in mFMT","Down in mFMT"
32412,1768,"butyrylcarnitine (C4)","Lipid","Fatty Acid Metabolism (also BCAA Metabolism)","LC/MS Pos Early",100001054,2860,232.1543,"439829","25576-40-3","C02862","HMDB0002013","Down in cleared","Down in mFMT","Down in mFMT","Down in mFMT"
32415,1577,"docosadienoate (22:2n6)","Lipid","Long Chain Polyunsaturated Fatty Acid (n3 and n6)","LC/MS Neg",100001182,6034,335.2956,"5282807","7370-49-2","C16533","HMDB0061714","Up in cleared","Up in mFMT","Up in mFMT","Down in mFMT"
32426,4409,"I-urobilinogen","Cofactors and Vitamins","Hemoglobin and Porphyrin Metabolism","LC/MS Neg",100001226,4190,591.3188,"9548718","14684-37-8","C05789","HMDB0004157","Down in cleared","Up in mFMT","Down in mFMT","Down in mFMT"
32435,4870,"daidzin","Xenobiotics","Food Component/Plant","LC/MS Neg",100001218,3217,415.1035,"107971","552-66-9","C10216","HMDB0033991","Down in cleared","Down in mFMT","Down in mFMT","Down in mFMT"
32448,4687,"genistein","Xenobiotics","Food Component/Plant","LC/MS Neg",100001221,3754,269.0455,"5280961","446-72-0","C06563","HMDB0003217","Down in cleared","Down in mFMT","Down in mFMT","Up in mFMT"
32452,1771,"propionylcarnitine (C3)","Lipid","Fatty Acid Metabolism (also BCAA Metabolism)","LC/MS Pos Early",100001162,2590,218.1387,"107738","17298-37-2","C03017","HMDB0000824","Down in cleared","Down in mFMT","Down in mFMT","Down in mFMT"
32453,4868,"daidzein","Xenobiotics","Food Component/Plant","LC/MS Neg",100001219,3566,253.0506,"5281708","486-66-8","C10208","HMDB0003312","Down in cleared","Down in mFMT","Down in mFMT","Up in mFMT"
32457,1985,"3-hydroxylaurate","Lipid","""Fatty Acid, Monohydroxy""","LC/MS Neg",100001112,5175,215.1653,"94216","53941-38-1","","HMDB0000387","Up in cleared","Up in mFMT","Down in mFMT","Up in mFMT"
32461,4301,"nicotinic acid mononucleotide (NaMN)","Cofactors and Vitamins","Nicotinate and Nicotinamide Metabolism","LC/MS Pos Early",100001058,648,336.0479,"5288991","321-02-8","C01185","HMDB0001132","Up in cleared","Up in mFMT","Up in mFMT","Up in mFMT"
32463,2167,"arachidonoyl ethanolamide","Lipid","Endocannabinoid","LC/MS Pos Late",1488,1560,348.2897,"5281969","94421-68-8","C11695","HMDB0004080","Up in cleared","Up in mFMT","Down in mFMT","Down in mFMT"
32489,1489,"caproate (6:0)","Lipid","Medium Chain Fatty Acid","LC/MS Neg",926,2713.7,115.0765,"8892","142-62-1","C01585","HMDB0000535","Up in cleared","Up in mFMT","Up in mFMT","Up in mFMT"
32492,1491,"caprylate (8:0)","Lipid","Medium Chain Fatty Acid","LC/MS Neg",932,4362,143.1078,"379","124-07-2","C06423","HMDB0000482","Up in cleared","Up in mFMT","Up in mFMT","Up in mFMT"
32504,1562,"docosapentaenoate (DPA; 22:5n3)","Lipid","Long Chain Polyunsaturated Fatty Acid (n3 and n6)","LC/MS Neg",100001181,5571,329.2486,"6441454","2234-74-4","C16513","""HMDB0001976,HMDB0006528""","Up in cleared","Up in mFMT","Down in mFMT","Down in mFMT"
32506,2872,"2-linoleoylglycerol (18:2)","Lipid","Monoacylglycerol","LC/MS Neg",100000987,6250,279.2329,"5365676","3443-82-1","","HMDB0011538","Up in cleared","Up in mFMT","Down in mFMT","Down in mFMT"
32553,190,"phenol sulfate","Amino Acid","Tyrosine Metabolism","LC/MS Neg",100001510,2156,172.9914,"74426","937-34-8","C02180","HMDB0060015","Up in cleared","Up in mFMT","Down in mFMT","Down in mFMT"
32586,4406,"""bilirubin (E,E)*""","Cofactors and Vitamins","Hemoglobin and Porphyrin Metabolism","LC/MS Pos Late",100001950,1045,585.2708,"129320511","","","","Down in cleared","Down in mFMT","Down in mFMT","Down in mFMT"
32807,3534,"taurocholenate sulfate*","Lipid","Secondary Bile Acid Metabolism","LC/MS Neg",100001990,4750,279.6142,"","","","","Up in cleared","Up in mFMT","Up in mFMT","Up in mFMT"
32980,1575,"adrenate (22:4n6)","Lipid","Long Chain Polyunsaturated Fatty Acid (n3 and n6)","LC/MS Neg",100001193,5678,331.2643,"5497181;5282844","2091-25-0","C16527","HMDB0002226","Up in cleared","Up in mFMT","Up in mFMT","Down in mFMT"
32984,509,"N-alpha-acetylornithine","Amino Acid","Urea cycle; Arginine and Proline Metabolism","LC/MS Pos Early",100000285,2000,175.1077,"439232","8/9/05","C00437","HMDB0003357","Up in cleared","Up in mFMT","Down in mFMT","Down in mFMT"
33013,4305,"nicotinamide riboside","Cofactors and Vitamins","Nicotinate and Nicotinamide Metabolism","LC/MS Pos Early",100001310,2040,255.0976,"439924","1341-23-7","C03150","HMDB0000855","Down in cleared","Down in mFMT","Down in mFMT","Up in mFMT"
33140,NA,"X - 11795","","","LC/MS Pos Early",NA,NA,NA,"","","","","Up in cleared","Up in mFMT","Down in mFMT","Down in mFMT"
33230,2602,"1-palmitoleoyl-GPC* (16:1)*","Lipid","Lysophospholipid","LC/MS Pos Late",100001511,1450,494.3241,"24779461","","","HMDB0010383","Up in cleared","Up in mFMT","Up in mFMT","Down in mFMT"
33418,4361,"delta-tocopherol","Cofactors and Vitamins","Tocopherol Metabolism","LC/MS Pos Late",100001216,2259,402.3492,"92094","119-13-1","C14151","HMDB0002902","Up in cleared","Up in mFMT","Down in mFMT","Down in mFMT"
33419,2868,"2-palmitoylglycerol (16:0)","Lipid","Monoacylglycerol","LC/MS Neg",100001048,6400,255.2329,"123409","23470-00-0","","HMDB0011533","Up in cleared","Up in mFMT","Up in mFMT","Down in mFMT"
33422,643,"gamma-glutamylphenylalanine","Peptide","Gamma-glutamyl Amino Acid","LC/MS Pos Early",100000491,2992,295.1289,"111299","7432-24-8","","HMDB0000594","Down in cleared","Down in mFMT","Down in mFMT","Down in mFMT"
33434,4132,"allantoic acid","Nucleotide","""Purine Metabolism, (Hypo)Xanthine/Inosine containing""","LC/MS Pos Early",218,660,177.0618,"203","99-16-1","C00499","HMDB0001209","Down in cleared","Down in mFMT","Down in mFMT","Down in mFMT"
33442,4219,"pseudouridine","Nucleotide","""Pyrimidine Metabolism, Uracil containing""","LC/MS Pos Early",821,800,245.0768,"15047","1445-07-4","C02067","HMDB0000767","Up in cleared","Up in mFMT","Up in mFMT","Down in mFMT"
33443,1488,"valerate (5:0)","Lipid","Short Chain Fatty Acid","LC/MS Neg",1136,1718,101.0608,"7991","109-52-4","C00803","HMDB0000892","Up in cleared","Up in mFMT","Up in mFMT","Up in mFMT"
33447,1529,"palmitoleate (16:1n7)","Lipid","Long Chain Monounsaturated Fatty Acid","LC/MS Neg",452,5475,253.2173,"445638","373-49-9","C08362","HMDB0003229","Up in cleared","Up in mFMT","Up in mFMT","Down in mFMT"
33471,4300,"nicotinate ribonucleoside","Cofactors and Vitamins","Nicotinate and Nicotinamide Metabolism","LC/MS Pos Early",100001316,1536,256.0816,"161233","2625-49-2","C05841","HMDB0006809","Up in cleared","Up in mFMT","Up in mFMT","Up in mFMT"
33487,54,"""glutamate, gamma-methyl ester""","Amino Acid","Glutamate Metabolism","LC/MS Pos Early",100001103,2170,162.0761,"68662","1499-55-4;1499-55-4","","HMDB0061715","Down in cleared","Down in mFMT","Down in mFMT","Down in mFMT"
33587,1543,"eicosenoate (20:1n9 or 1n11)","Lipid","Long Chain Monounsaturated Fatty Acid","LC/MS Neg",100001335,5950,309.2799,"5282769;5282768;94159","","C16526","""HMDB0002231,HMDB0062436""","Up in cleared","Up in mFMT","Down in mFMT","Down in mFMT"
33934,641,"gamma-glutamyl-epsilon-lysine","Peptide","Gamma-glutamyl Amino Acid","LC/MS Pos Early",100001262,2725,276.1554,"7015685","17105-15-6","","HMDB0003869","Down in cleared","Down in mFMT","Down in mFMT","Down in mFMT"
33939,18,"N-acetylthreonine","Amino Acid","""Glycine, Serine and Threonine Metabolism""","LC/MS Neg",100001274,821.6,160.0615,"152204","17093-74-2","","HMDB0062557","Up in cleared","Up in mFMT","Up in mFMT","Down in mFMT"
33942,42,"N-acetylasparagine","Amino Acid","Alanine and Aspartate Metabolism","LC/MS Pos Early",100001257,785,175.0713,"99715","4033-40-3","","HMDB0006028","Up in cleared","Up in mFMT","Up in mFMT","Down in mFMT"
33943,48,"N-acetylglutamine","Amino Acid","Glutamate Metabolism","LC/MS Pos Early",100001253,845,189.087,"182230","2490-97-3","C02716","HMDB0006029","Up in cleared","Up in mFMT","Up in mFMT","Down in mFMT"
33946,73,"N-acetylhistidine","Amino Acid","Histidine Metabolism","LC/MS Pos Early",100001293,2065,198.0873,"75619","39145-52-3","C02997","HMDB0032055","Down in cleared","Down in mFMT","Up in mFMT","Down in mFMT"
33947,645,"gamma-glutamyltryptophan","Peptide","Gamma-glutamyl Amino Acid","LC/MS Pos Early",100001295,2975,334.1398,"3989307","66471-20-3","","HMDB0029160","Down in cleared","Down in mFMT","Down in mFMT","Down in mFMT"
33949,636,"gamma-glutamylglycine","Peptide","Gamma-glutamyl Amino Acid","LC/MS Pos Early",100001294,1535,205.0819,"100099","1948-29-4","","HMDB0011667","Down in cleared","Down in mFMT","Down in mFMT","Down in mFMT"
33950,141,"N-acetylphenylalanine","Amino Acid","Phenylalanine Metabolism","LC/MS Neg",100001256,2597,206.0823,"74839","2018-61-3","C03519","HMDB0000512","Up in cleared","Down in mFMT","Down in mFMT","Down in mFMT"
33952,1862,"myristoylcarnitine (C14)","Lipid","""Fatty Acid Metabolism (Acyl Carnitine, Long Chain Saturated)""","LC/MS Pos Late",100001270,1350,372.3108,"6426854","18822-89-4","","HMDB000506","Up in cleared","Down in mFMT","Down in mFMT","Down in mFMT"
33953,499,"N-acetylarginine","Amino Acid","Urea cycle; Arginine and Proline Metabolism","LC/MS Pos Early",100001266,2245,217.1295,"67427","155-84-0","C02562","HMDB0004620","Down in cleared","Down in mFMT","Down in mFMT","Down in mFMT"
33955,2600,"1-palmitoyl-GPC (16:0)","Lipid","Lysophospholipid","LC/MS Pos Late",100001263,1525,496.3398,"86554","17364-16-8","C04102","HMDB0010382","Up in cleared","Up in mFMT","Up in mFMT","Down in mFMT"
33959,255,"N-acetyltryptophan","Amino Acid","Tryptophan Metabolism","LC/MS Neg",100001254,2630,245.0932,"439917;700653","1218-34-4","C03137","HMDB0013713","Down in cleared","Down in mFMT","Down in mFMT","Down in mFMT"
33961,2611,"1-stearoyl-GPC (18:0)","Lipid","Lysophospholipid","LC/MS Pos Late",100001271,1606,524.3711,"497300","19420-57-6","","HMDB0010384","Up in cleared","Up in mFMT","Up in mFMT","Down in mFMT"
33965,311,"indole","Amino Acid","Tryptophan Metabolism","LC/MS Neg",100000264,4302,116.0506,"798","120-72-9","C00463","HMDB0000738","Down in cleared","Down in mFMT","Down in mFMT","Down in mFMT"
33967,387,"N-acetylisoleucine","Amino Acid","""Leucine, Isoleucine and Valine Metabolism""","LC/MS Neg",100001276,2325,172.0979,"306109","3077-46-1","","HMDB0061684","Up in cleared","Up in mFMT","Down in mFMT","Down in mFMT"
33968,1504,"5-dodecenoate (12:1n7)","Lipid","Medium Chain Fatty Acid","LC/MS Neg",100001232,5224,197.1547,"5312378","2430-94-6","","HMDB0000529","Down in cleared","Down in mFMT","Down in mFMT","Down in mFMT"
33969,1557,"stearidonate (18:4n3)","Lipid","Long Chain Polyunsaturated Fatty Acid (n3 and n6)","LC/MS Neg",100001229,5395,275.2017,"5312508","111174-40-4","C16300","HMDB0006547","Up in cleared","Up in mFMT","Up in mFMT","Down in mFMT"
33971,1531,"10-heptadecenoate (17:1n7)","Lipid","Long Chain Monounsaturated Fatty Acid","LC/MS Neg",100001278,5555,267.233,"5312435","29743-97-3","","HMDB0060038","Up in cleared","Up in mFMT","Up in mFMT","Down in mFMT"
33972,1540,"10-nonadecenoate (19:1n9)","Lipid","Long Chain Monounsaturated Fatty Acid","LC/MS Neg",100001277,5780,295.2643,"5312513","73033-09-7","","HMDB0013622","Up in cleared","Up in mFMT","Up in mFMT","Down in mFMT"
33983,3465,"tauro-beta-muricholate","Lipid","Primary Bile Acid Metabolism","LC/MS Neg",100001250,4774,514.2844,"121596216;168408;21124703","25696-60-0","","HMDB0000932","Up in cleared","Up in mFMT","Up in mFMT","Up in mFMT"
33997,3223,"campesterol","Lipid","Sterol","LC/MS Pos Late",100001269,2873,383.3672,"173183","474-62-4","C01789","HMDB0002869","Down in cleared","Up in mFMT","Down in mFMT","Up in mFMT"
34024,4919,"glycitein","Xenobiotics","Food Component/Plant","LC/MS Pos Late",100001222,700,285.0758,"5317750","40957-83-3","C14536","HMDB0005781","Down in cleared","Down in mFMT","Up in mFMT","Up in mFMT"
34035,1569,"linolenate (18:3n3 or 3n6)","Lipid","Long Chain Polyunsaturated Fatty Acid (n3 and n6)","LC/MS Neg",100001337,5450,277.2173,"5280933;5280934","","""C06426,C06427""","""HMDB0001388,HMDB0003073""","Up in cleared","Up in mFMT","Up in mFMT","Down in mFMT"
34092,3463,"alpha-muricholate","Lipid","Primary Bile Acid Metabolism","LC/MS Neg",100001280,4765,407.2803,"53477700","2393-58-0","C17647","HMDB0000506","Up in cleared","Up in mFMT","Up in mFMT","Up in mFMT"
34093,3523,"hyocholate","Lipid","Secondary Bile Acid Metabolism","LC/MS Neg",100001279,5046,407.2803,"92805","547-75-1","C17649","HMDB0000760","Up in cleared","Up in mFMT","Up in mFMT","Down in mFMT"
34381,2999,"3-ketosphinganine","Lipid","Sphingolipid Synthesis","LC/MS Pos Late",100001436,1400,300.2897,"631","18944-28-0","C02934","HMDB01480","Up in cleared","Up in mFMT","Up in mFMT","Up in mFMT"
34383,2867,"2-myristoylglycerol (14:0)","Lipid","Monoacylglycerol","LC/MS Neg",100001408,6230,227.2016,"137938","27214-38-6","","HMDB0011530","Up in cleared","Up in mFMT","Down in mFMT","Down in mFMT"
34384,5060,"stachydrine","Xenobiotics","Food Component/Plant","LC/MS Pos Early",100001296,1440,144.1019,"115244","4136-37-2","C10172","HMDB0004827","Down in cleared","Down in mFMT","Down in mFMT","Up in mFMT"
34387,505,"N-acetylproline","Amino Acid","Urea cycle; Arginine and Proline Metabolism","LC/MS Pos Early",100001334,1695,158.0812,"322640","1074-79-9","","HMDB0094701","Down in cleared","Down in mFMT","Down in mFMT","Down in mFMT"
34393,2857,"1-linolenoylglycerol (18:3)","Lipid","Monoacylglycerol","LC/MS Neg",100001435,6214,277.2173,"53480978","124151-74-2","","HMDB0011569","Up in cleared","Up in mFMT","Up in mFMT","Down in mFMT"
34396,2233,"phosphocholine","Lipid","Phospholipid Metabolism","LC/MS Pos Early",267,700,184.0733,"1014","72556-74-2","C00588","HMDB0001565","Up in cleared","Down in mFMT","Up in mFMT","Down in mFMT"
34397,2862,"1-arachidonylglycerol (20:4)","Lipid","Monoacylglycerol","LC/MS Neg",100001433,6250,303.2329,"16019980;5282281","35474-99-8","C13857","HMDB11578","Up in cleared","Up in mFMT","Down in mFMT","Down in mFMT"
34398,819,"glycylleucine","Peptide","Dipeptide","LC/MS Pos Early",100001258,3059,189.1234,"92843","869-19-2","C02155","HMDB0000759","Down in cleared","Up in mFMT","Down in mFMT","Down in mFMT"
34407,354,"isovalerylcarnitine (C5)","Amino Acid","""Leucine, Isoleucine and Valine Metabolism""","LC/MS Pos Early",100001393,3085,246.17,"169235","31023-24-2","C20826","HMDB0000688","Down in cleared","Down in mFMT","Down in mFMT","Up in mFMT"
34409,1866,"stearoylcarnitine (C18)","Lipid","""Fatty Acid Metabolism (Acyl Carnitine, Long Chain Saturated)""","LC/MS Pos Late",100001391,1485,428.3734,"3006797","18822-91-8","","HMDB0000848","Up in cleared","Up in mFMT","Down in mFMT","Down in mFMT"
34419,2616,"1-linoleoyl-GPC (18:2)","Lipid","Lysophospholipid","LC/MS Pos Late",100001395,1465,520.3398,"11988421","","C04100","HMDB0010386","Up in cleared","Up in mFMT","Up in mFMT","Down in mFMT"
34428,2582,"1-palmitoyl-GPA (16:0)","Lipid","Lysophospholipid","LC/MS Neg",100001445,5600,409.2361,"6419701","17618-08-5","C04036","HMDB00327","Up in cleared","Up in mFMT","Up in mFMT","Up in mFMT"
34437,2711,"1-stearoyl-GPG (18:0)","Lipid","Lysophospholipid","LC/MS Neg",100001462,5816,511.3041,"","","","","Up in cleared","Up in mFMT","Up in mFMT","Down in mFMT"
34456,638,"gamma-glutamylisoleucine*","Peptide","Gamma-glutamyl Amino Acid","LC/MS Pos Early",100001485,2940,261.1445,"22885096","","","HMDB0011170","Down in cleared","Down in mFMT","Down in mFMT","Down in mFMT"
34534,1861,"laurylcarnitine (C12)","Lipid","""Fatty Acid Metabolism (Acyl Carnitine, Medium Chain)""","LC/MS Pos Late",100001392,1235,344.2795,"168381","25518-54-1","","HMDB000225","Down in cleared","Down in mFMT","Down in mFMT","Up in mFMT"
35101,4825,"beta-guanidinopropanoate","Xenobiotics","Food Component/Plant","LC/MS Pos Early",100001411,2145,132.0768,"67701","353-09-3","C03065","HMDB0013222","Up in cleared","Up in mFMT","Down in mFMT","Down in mFMT"
35107,353,"isovalerylglycine","Amino Acid","""Leucine, Isoleucine and Valine Metabolism""","LC/MS Neg",100001452,1950,158.0823,"546304","16284-60-9","","HMDB00678","Up in cleared","Up in mFMT","Down in mFMT","Down in mFMT"
35114,4184,"7-methylguanine","Nucleotide","""Purine Metabolism, Guanine containing""","LC/MS Pos Early",100001456,2175,166.0723,"135398679","578-76-7","C02242","HMDB0000897","Down in cleared","Down in mFMT","Down in mFMT","Down in mFMT"
35126,1187,"phenylacetylglutamine","Peptide","Acetylated Peptides","LC/MS Neg",100001417,2330,263.1037,"92258","28047-15-6","C04148","HMDB0006344","Up in cleared","Up in mFMT","Down in mFMT","Down in mFMT"
35127,515,"prolylhydroxyproline","Amino Acid","Urea cycle; Arginine and Proline Metabolism","LC/MS Pos Early",100001167,2128,229.1183,"11902893","18684-24-7","","HMDB0006695","Down in cleared","Down in mFMT","Down in mFMT","Up in mFMT"
35129,4388,"dihydrobiopterin","Cofactors and Vitamins","Tetrahydrobiopterin Metabolism","LC/MS Pos Early",100001506,1930,240.1091,"135402011","6779-87-9","C00268","HMDB0000038","Up in cleared","Up in mFMT","Up in mFMT","Down in mFMT"
35136,4222,"5-methyluridine (ribothymidine)","Nucleotide","""Pyrimidine Metabolism, Uracil containing""","LC/MS Neg",100001446,1778.1,257.0779,"445408","1463-10-1","","HMDB0000884","Up in cleared","Up in mFMT","Up in mFMT","Down in mFMT"
35142,4138,"3'-AMP","Nucleotide","""Purine Metabolism, Adenine containing""","LC/MS Neg",100001449,1245,346.0558,"41211","84-21-9","C01267","HMDB0003540","Up in cleared","Down in mFMT","Down in mFMT","Down in mFMT"
35153,2866,"1-docosahexaenoylglycerol (22:6)","Lipid","Monoacylglycerol","LC/MS Neg",100001481,6150,309.2224,"53480995","","","HMDB0011587","Up in cleared","Up in mFMT","Down in mFMT","Down in mFMT"
35157,4162,"N6-carbamoylthreonyladenosine","Nucleotide","""Purine Metabolism, Adenine containing""","LC/MS Neg",100001415,2164,411.127,"161466","24719-82-2","","HMDB0041623","Down in cleared","Down in mFMT","Down in mFMT","Down in mFMT"
35160,1886,"oleoylcarnitine (C18:1)","Lipid","""Fatty Acid Metabolism (Acyl Carnitine, Monounsaturated)""","LC/MS Pos Late",100001501,1423,426.3578,"6441392","38677-66-6","","HMDB0005065","Up in cleared","Up in mFMT","Up in mFMT","Down in mFMT"
35172,4207,"orotidine","Nucleotide","""Pyrimidine Metabolism, Orotate containing""","LC/MS Polar",100001416,2250,287.0521,"92751","314-50-1","","HMDB0000788","Down in cleared","Down in mFMT","Down in mFMT","Down in mFMT"
35174,1579,"mead acid (20:3n9)","Lipid","Long Chain Polyunsaturated Fatty Acid (n3 and n6)","LC/MS Neg",100001472,5650,305.2486,"5312531","20590-32-3","","HMDB0010378","Up in cleared","Up in mFMT","Down in mFMT","Down in mFMT"
35186,2686,"1-arachidonoyl-GPE (20:4n6)*","Lipid","Lysophospholipid","LC/MS Pos Late",100001571,1470,502.2928,"42607465","","","HMDB0011517","Up in cleared","Up in mFMT","Down in mFMT","Down in mFMT"
35253,2601,"2-palmitoyl-GPC* (16:0)*","Lipid","Lysophospholipid","LC/MS Neg",100001562,6215,570.3413,"15061532","","","HMDB0061702","Up in cleared","Up in mFMT","Up in mFMT","Down in mFMT"
35305,2717,"1-palmitoyl-GPI* (16:0)","Lipid","Lysophospholipid","LC/MS Neg",100001655,5564,571.2889,"71296207","","","HMDB0061695","Up in cleared","Up in mFMT","Up in mFMT","Down in mFMT"
35320,4495,"catechol sulfate","Xenobiotics","Benzoate Metabolism","LC/MS Neg",100001605,1906,188.9863,"3083879","4918-96-1","","HMDB0059724","Down in cleared","Up in mFMT","Down in mFMT","Up in mFMT"
35322,5962,"hydroquinone sulfate","Xenobiotics","Drug - Topical Agents","LC/MS Neg",100001604,1395,188.9863,"161220","123-31-9","C00530","HMDB0240263","Down in cleared","Up in mFMT","Down in mFMT","Up in mFMT"
35324,3192,"cholesterol sulfate","Lipid","Sterol","LC/MS Neg",100001606,6615,465.3044,"65076","2864-50-8","C18043","HMDB00653","Down in cleared","Down in mFMT","Down in mFMT","Up in mFMT"
35433,364,"beta-hydroxyisovaleroylcarnitine","Amino Acid","""Leucine, Isoleucine and Valine Metabolism""","LC/MS Pos Early",100001594,2584,262.1649,"","99159-87-2","","","Up in cleared","Up in mFMT","Up in mFMT","Down in mFMT"
35437,427,"isobutyrylglycine (C4)","Amino Acid","""Leucine, Isoleucine and Valine Metabolism""","LC/MS Neg",100001590,1420,144.0666,"10855600","15926-18-8","","HMDB0000730","Up in cleared","Up in mFMT","Up in mFMT","Up in mFMT"
35527,4467,"4-hydroxyhippurate","Xenobiotics","Benzoate Metabolism","LC/MS Neg",100001423,1475,194.0459,"151012","2482-25-9","","HMDB0013678","Down in cleared","Down in mFMT","Down in mFMT","Up in mFMT"
35625,2848,"1-myristoylglycerol (14:0)","Lipid","Monoacylglycerol","LC/MS Neg",100001618,6353.3,227.2016,"10957631","75685-84-6","C01885","HMDB0011561","Up in cleared","Up in mFMT","Up in mFMT","Down in mFMT"
