clade_name	relative_abundance	mgID
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Duncaniella|s__Duncaniella_dubosii|t__SGB2089	0.00301	c21_1839_2_S115
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_caecimuris|t__SGB1863	0.00146	c21_1839_2_S115
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides|s__Parabacteroides_distasonis|t__SGB1934	6.9e-4	c21_1839_2_S115
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Anaerostipes|s__Anaerostipes_hominis|t__SGB4530	2.3e-4	c21_1839_2_S115
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Akkermansiaceae|g__Akkermansia|s__Akkermansia_sp_KLE1798|t__SGB9224	1.3e-4	c21_1839_2_S115
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_stercoris|t__SGB1830	1.1e-4	c21_1839_2_S115
k__Bacteria	100	c21_1901_3_S29
k__Bacteria|p__Firmicutes	47.66948	c21_1901_3_S29
k__Bacteria|p__Bacteroidetes	34.50379	c21_1901_3_S29
k__Bacteria|p__Proteobacteria	8.49825	c21_1901_3_S29
k__Bacteria|p__Bacteria_unclassified	6.7835	c21_1901_3_S29
k__Bacteria|p__Actinobacteria	1.59868	c21_1901_3_S29
k__Bacteria|p__Verrucomicrobia	0.84199	c21_1901_3_S29
k__Bacteria|p__Tenericutes	0.10432	c21_1901_3_S29
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	26.70954	c21_1901_3_S29
k__Bacteria|p__Firmicutes|c__Clostridia	19.34744	c21_1901_3_S29
k__Bacteria|p__Firmicutes|c__Bacilli	8.05886	c21_1901_3_S29
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	7.81671	c21_1901_3_S29
k__Bacteria|p__Bacteroidetes|c__CFGB635	4.92712	c21_1901_3_S29
k__Bacteria|p__Firmicutes|c__Tissierellia	4.30417	c21_1901_3_S29
k__Bacteria|p__Firmicutes|c__CFGB76539	2.82189	c21_1901_3_S29
k__Bacteria|p__Candidatus_Saccharibacteria|c__CFGB8157	2.76721	c21_1901_3_S29
k__Bacteria|p__Bacteroidetes|c__CFGB76111	2.24986	c21_1901_3_S29
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified	1.68868	c21_1901_3_S29
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	1.34609	c21_1901_3_S29
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	1.15802	c21_1901_3_S29
k__Bacteria|p__Firmicutes|c__CFGB76074	1.10076	c21_1901_3_S29
k__Bacteria|p__Firmicutes|c__CFGB76322	0.98669	c21_1901_3_S29
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	0.84199	c21_1901_3_S29
k__Bacteria|p__Firmicutes|c__CFGB76077	0.81123	c21_1901_3_S29
k__Bacteria|p__Firmicutes|c__CFGB8152	0.79342	c21_1901_3_S29
k__Bacteria|p__Firmicutes|c__CFGB72926	0.76494	c21_1901_3_S29
k__Bacteria|p__Firmicutes|c__CFGB76293	0.75423	c21_1901_3_S29
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	0.62793	c21_1901_3_S29
k__Bacteria|p__Bacteria_unclassified|c__CFGB76064	0.60309	c21_1901_3_S29
k__Bacteria|p__Bacteroidetes|c__CFGB9397	0.59336	c21_1901_3_S29
k__Bacteria|p__Firmicutes|c__CFGB9644	0.5713	c21_1901_3_S29
k__Bacteria|p__Firmicutes|c__CFGB76354	0.54442	c21_1901_3_S29
k__Bacteria|p__Bacteria_unclassified|c__CFGB76311	0.50056	c21_1901_3_S29
k__Bacteria|p__Firmicutes|c__CFGB9479	0.49169	c21_1901_3_S29
k__Bacteria|p__Firmicutes|c__CFGB9827	0.47334	c21_1901_3_S29
k__Bacteria|p__Firmicutes|c__CFGB49426	0.26471	c21_1901_3_S29
k__Bacteria|p__Firmicutes|c__CFGB28439	0.24653	c21_1901_3_S29
k__Bacteria|p__Bacteria_unclassified|c__CFGB76313	0.21908	c21_1901_3_S29
k__Bacteria|p__Firmicutes|c__CFGB1494	0.17344	c21_1901_3_S29
k__Bacteria|p__Bacteria_unclassified|c__CFGB76138	0.15568	c21_1901_3_S29
k__Bacteria|p__Firmicutes|c__CFGB76308	0.13186	c21_1901_3_S29
k__Bacteria|p__Actinobacteria|c__Actinomycetia	0.1077	c21_1901_3_S29
k__Bacteria|p__Firmicutes|c__CFGB9506	0.10643	c21_1901_3_S29
k__Bacteria|p__Bacteroidetes|c__CFGB1791	0.10432	c21_1901_3_S29
k__Bacteria|p__Firmicutes|c__CFGB76576	0.08641	c21_1901_3_S29
k__Bacteria|p__Firmicutes|c__CFGB76081	0.08041	c21_1901_3_S29
k__Bacteria|p__Firmicutes|c__CFGB6645	0.06337	c21_1901_3_S29
k__Bacteria|p__Firmicutes|c__CFGB48875	0.04979	c21_1901_3_S29
k__Bacteria|p__Firmicutes|c__CFGB76351	0.04543	c21_1901_3_S29
k__Bacteria|p__Firmicutes|c__CFGB9960	0.03577	c21_1901_3_S29
k__Bacteria|p__Proteobacteria|c__CFGB76404	0.03535	c21_1901_3_S29
k__Bacteria|p__Firmicutes|c__CFGB76355	0.03318	c21_1901_3_S29
k__Bacteria|p__Firmicutes|c__CFGB76565	0.03316	c21_1901_3_S29
k__Bacteria|p__Firmicutes|c__CFGB1227	0.02536	c21_1901_3_S29
k__Bacteria|p__Firmicutes|c__CFGB76310	0.02004	c21_1901_3_S29
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	0.01826	c21_1901_3_S29
k__Bacteria|p__Firmicutes|c__CFGB1814	0.01369	c21_1901_3_S29
k__Bacteria|p__Bacteria_unclassified|c__CFGB76244	0.0132	c21_1901_3_S29
k__Bacteria|p__Firmicutes|c__CFGB9633	0.01	c21_1901_3_S29
k__Bacteria|p__Firmicutes|c__CFGB76071	0.00793	c21_1901_3_S29
k__Bacteria|p__Firmicutes|c__CFGB76790	0.00732	c21_1901_3_S29
k__Bacteria|p__Firmicutes|c__CFGB10667	0.00262	c21_1901_3_S29
k__Bacteria|p__Firmicutes|c__CFGB75984	0.00169	c21_1901_3_S29
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	26.70954	c21_1901_3_S29
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	18.22186	c21_1901_3_S29
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	7.81671	c21_1901_3_S29
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	6.38489	c21_1901_3_S29
k__Bacteria|p__Bacteroidetes|c__CFGB635|o__OFGB635	4.92712	c21_1901_3_S29
k__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales	4.30417	c21_1901_3_S29
k__Bacteria|p__Firmicutes|c__CFGB76539|o__OFGB76539	2.82189	c21_1901_3_S29
k__Bacteria|p__Candidatus_Saccharibacteria|c__CFGB8157|o__OFGB8157	2.76721	c21_1901_3_S29
k__Bacteria|p__Bacteroidetes|c__CFGB76111|o__OFGB76111	2.24986	c21_1901_3_S29
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified|o__Bacteria_unclassified	1.68868	c21_1901_3_S29
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	1.67397	c21_1901_3_S29
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	1.34609	c21_1901_3_S29
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified	1.12558	c21_1901_3_S29
k__Bacteria|p__Firmicutes|c__CFGB76074|o__OFGB76074	1.10076	c21_1901_3_S29
k__Bacteria|p__Firmicutes|c__CFGB76322|o__OFGB76322	0.98669	c21_1901_3_S29
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	0.84199	c21_1901_3_S29
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	0.81957	c21_1901_3_S29
k__Bacteria|p__Firmicutes|c__CFGB76077|o__OFGB76077	0.81123	c21_1901_3_S29
k__Bacteria|p__Firmicutes|c__CFGB8152|o__OFGB8152	0.79342	c21_1901_3_S29
k__Bacteria|p__Firmicutes|c__CFGB72926|o__OFGB72926	0.76494	c21_1901_3_S29
k__Bacteria|p__Firmicutes|c__CFGB76293|o__OFGB76293	0.75423	c21_1901_3_S29
k__Bacteria|p__Bacteria_unclassified|c__CFGB76064|o__OFGB76064	0.60309	c21_1901_3_S29
k__Bacteria|p__Bacteroidetes|c__CFGB9397|o__OFGB9397	0.59336	c21_1901_3_S29
k__Bacteria|p__Firmicutes|c__CFGB9644|o__OFGB9644	0.5713	c21_1901_3_S29
k__Bacteria|p__Firmicutes|c__CFGB76354|o__OFGB76354	0.54442	c21_1901_3_S29
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	0.5301	c21_1901_3_S29
k__Bacteria|p__Bacteria_unclassified|c__CFGB76311|o__OFGB76311	0.50056	c21_1901_3_S29
k__Bacteria|p__Firmicutes|c__CFGB9479|o__OFGB9479	0.49169	c21_1901_3_S29
k__Bacteria|p__Firmicutes|c__CFGB9827|o__OFGB9827	0.47334	c21_1901_3_S29
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	0.33845	c21_1901_3_S29
k__Bacteria|p__Firmicutes|c__CFGB49426|o__OFGB49426	0.26471	c21_1901_3_S29
k__Bacteria|p__Firmicutes|c__CFGB28439|o__OFGB28439	0.24653	c21_1901_3_S29
k__Bacteria|p__Bacteria_unclassified|c__CFGB76313|o__OFGB76313	0.21908	c21_1901_3_S29
k__Bacteria|p__Firmicutes|c__CFGB1494|o__OFGB1494	0.17344	c21_1901_3_S29
k__Bacteria|p__Bacteria_unclassified|c__CFGB76138|o__OFGB76138	0.15568	c21_1901_3_S29
k__Bacteria|p__Firmicutes|c__CFGB76308|o__OFGB76308	0.13186	c21_1901_3_S29
k__Bacteria|p__Firmicutes|c__CFGB9506|o__OFGB9506	0.10643	c21_1901_3_S29
k__Bacteria|p__Bacteroidetes|c__CFGB1791|o__OFGB1791	0.10432	c21_1901_3_S29
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Rhodocyclales	0.09783	c21_1901_3_S29
k__Bacteria|p__Firmicutes|c__CFGB76576|o__OFGB76576	0.08641	c21_1901_3_S29
k__Bacteria|p__Firmicutes|c__CFGB76081|o__OFGB76081	0.08041	c21_1901_3_S29
k__Bacteria|p__Firmicutes|c__CFGB6645|o__OFGB6645	0.06337	c21_1901_3_S29
k__Bacteria|p__Firmicutes|c__CFGB48875|o__OFGB48875	0.04979	c21_1901_3_S29
k__Bacteria|p__Firmicutes|c__CFGB76351|o__OFGB76351	0.04543	c21_1901_3_S29
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales	0.04392	c21_1901_3_S29
k__Bacteria|p__Firmicutes|c__CFGB9960|o__OFGB9960	0.03577	c21_1901_3_S29
k__Bacteria|p__Proteobacteria|c__CFGB76404|o__OFGB76404	0.03535	c21_1901_3_S29
k__Bacteria|p__Firmicutes|c__CFGB76355|o__OFGB76355	0.03318	c21_1901_3_S29
k__Bacteria|p__Firmicutes|c__CFGB76565|o__OFGB76565	0.03316	c21_1901_3_S29
k__Bacteria|p__Firmicutes|c__CFGB1227|o__OFGB1227	0.02536	c21_1901_3_S29
k__Bacteria|p__Firmicutes|c__CFGB76310|o__OFGB76310	0.02004	c21_1901_3_S29
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	0.01826	c21_1901_3_S29
k__Bacteria|p__Firmicutes|c__CFGB1814|o__OFGB1814	0.01369	c21_1901_3_S29
k__Bacteria|p__Bacteria_unclassified|c__CFGB76244|o__OFGB76244	0.0132	c21_1901_3_S29
k__Bacteria|p__Firmicutes|c__CFGB9633|o__OFGB9633	0.01	c21_1901_3_S29
k__Bacteria|p__Firmicutes|c__CFGB76071|o__OFGB76071	0.00793	c21_1901_3_S29
k__Bacteria|p__Firmicutes|c__CFGB76790|o__OFGB76790	0.00732	c21_1901_3_S29
k__Bacteria|p__Firmicutes|c__CFGB10667|o__OFGB10667	0.00262	c21_1901_3_S29
k__Bacteria|p__Firmicutes|c__CFGB75984|o__OFGB75984	0.00169	c21_1901_3_S29
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae	20.35183	c21_1901_3_S29
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae	9.68755	c21_1901_3_S29
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae	7.81671	c21_1901_3_S29
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae	6.38489	c21_1901_3_S29
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidales_unclassified	5.3578	c21_1901_3_S29
k__Bacteria|p__Bacteroidetes|c__CFGB635|o__OFGB635|f__FGB635	4.92712	c21_1901_3_S29
k__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales|f__Peptoniphilaceae	4.30417	c21_1901_3_S29
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae	4.21173	c21_1901_3_S29
k__Bacteria|p__Firmicutes|c__CFGB76539|o__OFGB76539|f__FGB76539	2.82189	c21_1901_3_S29
k__Bacteria|p__Candidatus_Saccharibacteria|c__CFGB8157|o__OFGB8157|f__FGB8157	2.76721	c21_1901_3_S29
k__Bacteria|p__Bacteroidetes|c__CFGB76111|o__OFGB76111|f__FGB76111	2.24986	c21_1901_3_S29
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified|o__Bacteria_unclassified|f__Bacteria_unclassified	1.68868	c21_1901_3_S29
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae	1.67397	c21_1901_3_S29
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae	1.57297	c21_1901_3_S29
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae	1.32832	c21_1901_3_S29
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified|f__Clostridia_unclassified	1.12558	c21_1901_3_S29
k__Bacteria|p__Firmicutes|c__CFGB76074|o__OFGB76074|f__FGB76074	1.10076	c21_1901_3_S29
k__Bacteria|p__Firmicutes|c__CFGB76322|o__OFGB76322|f__FGB76322	0.98669	c21_1901_3_S29
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	0.92485	c21_1901_3_S29
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Akkermansiaceae	0.84199	c21_1901_3_S29
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae	0.81957	c21_1901_3_S29
k__Bacteria|p__Firmicutes|c__CFGB76077|o__OFGB76077|f__FGB76077	0.81123	c21_1901_3_S29
k__Bacteria|p__Firmicutes|c__CFGB8152|o__OFGB8152|f__FGB8152	0.79342	c21_1901_3_S29
k__Bacteria|p__Firmicutes|c__CFGB72926|o__OFGB72926|f__FGB72926	0.76494	c21_1901_3_S29
k__Bacteria|p__Firmicutes|c__CFGB76293|o__OFGB76293|f__FGB76293	0.75423	c21_1901_3_S29
k__Bacteria|p__Bacteria_unclassified|c__CFGB76064|o__OFGB76064|f__FGB76064	0.60309	c21_1901_3_S29
k__Bacteria|p__Bacteroidetes|c__CFGB9397|o__OFGB9397|f__FGB9397	0.59336	c21_1901_3_S29
k__Bacteria|p__Firmicutes|c__CFGB9644|o__OFGB9644|f__FGB9644	0.5713	c21_1901_3_S29
k__Bacteria|p__Firmicutes|c__CFGB76354|o__OFGB76354|f__FGB76354	0.54442	c21_1901_3_S29
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae	0.5301	c21_1901_3_S29
k__Bacteria|p__Bacteria_unclassified|c__CFGB76311|o__OFGB76311|f__FGB76311	0.50056	c21_1901_3_S29
k__Bacteria|p__Firmicutes|c__CFGB9479|o__OFGB9479|f__FGB9479	0.49169	c21_1901_3_S29
k__Bacteria|p__Firmicutes|c__CFGB9827|o__OFGB9827|f__FGB9827	0.47334	c21_1901_3_S29
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae	0.33085	c21_1901_3_S29
k__Bacteria|p__Firmicutes|c__CFGB49426|o__OFGB49426|f__FGB49426	0.26471	c21_1901_3_S29
k__Bacteria|p__Firmicutes|c__CFGB28439|o__OFGB28439|f__FGB28439	0.24653	c21_1901_3_S29
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Christensenellaceae	0.22821	c21_1901_3_S29
k__Bacteria|p__Bacteria_unclassified|c__CFGB76313|o__OFGB76313|f__FGB76313	0.21908	c21_1901_3_S29
k__Bacteria|p__Firmicutes|c__CFGB1494|o__OFGB1494|f__FGB1494	0.17344	c21_1901_3_S29
k__Bacteria|p__Bacteria_unclassified|c__CFGB76138|o__OFGB76138|f__FGB76138	0.15568	c21_1901_3_S29
k__Bacteria|p__Firmicutes|c__CFGB76308|o__OFGB76308|f__FGB76308	0.13186	c21_1901_3_S29
k__Bacteria|p__Firmicutes|c__CFGB9506|o__OFGB9506|f__FGB9506	0.10643	c21_1901_3_S29
k__Bacteria|p__Bacteroidetes|c__CFGB1791|o__OFGB1791|f__FGB1791	0.10432	c21_1901_3_S29
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Rhodocyclales|f__Zoogloeaceae	0.09783	c21_1901_3_S29
k__Bacteria|p__Firmicutes|c__CFGB76576|o__OFGB76576|f__FGB76576	0.08641	c21_1901_3_S29
k__Bacteria|p__Firmicutes|c__CFGB76081|o__OFGB76081|f__FGB76081	0.08041	c21_1901_3_S29
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae	0.07347	c21_1901_3_S29
k__Bacteria|p__Firmicutes|c__CFGB6645|o__OFGB6645|f__FGB6645	0.06337	c21_1901_3_S29
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriales_unclassified	0.05194	c21_1901_3_S29
k__Bacteria|p__Firmicutes|c__CFGB48875|o__OFGB48875|f__FGB48875	0.04979	c21_1901_3_S29
k__Bacteria|p__Firmicutes|c__CFGB76351|o__OFGB76351|f__FGB76351	0.04543	c21_1901_3_S29
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae	0.04392	c21_1901_3_S29
k__Bacteria|p__Firmicutes|c__CFGB9960|o__OFGB9960|f__FGB9960	0.03577	c21_1901_3_S29
k__Bacteria|p__Proteobacteria|c__CFGB76404|o__OFGB76404|f__FGB76404	0.03535	c21_1901_3_S29
k__Bacteria|p__Firmicutes|c__CFGB76355|o__OFGB76355|f__FGB76355	0.03318	c21_1901_3_S29
k__Bacteria|p__Firmicutes|c__CFGB76565|o__OFGB76565|f__FGB76565	0.03316	c21_1901_3_S29
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriales_Family_XIII_Incertae_Sedis	0.03214	c21_1901_3_S29
k__Bacteria|p__Firmicutes|c__CFGB1227|o__OFGB1227|f__FGB1227	0.02536	c21_1901_3_S29
k__Bacteria|p__Firmicutes|c__CFGB76310|o__OFGB76310|f__FGB76310	0.02004	c21_1901_3_S29
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae	0.01826	c21_1901_3_S29
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Turicibacteraceae	0.01777	c21_1901_3_S29
k__Bacteria|p__Firmicutes|c__CFGB1814|o__OFGB1814|f__FGB1814	0.01369	c21_1901_3_S29
k__Bacteria|p__Bacteria_unclassified|c__CFGB76244|o__OFGB76244|f__FGB76244	0.0132	c21_1901_3_S29
k__Bacteria|p__Firmicutes|c__CFGB9633|o__OFGB9633|f__FGB9633	0.01	c21_1901_3_S29
k__Bacteria|p__Firmicutes|c__CFGB76071|o__OFGB76071|f__FGB76071	0.00793	c21_1901_3_S29
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae	0.0076	c21_1901_3_S29
k__Bacteria|p__Firmicutes|c__CFGB76790|o__OFGB76790|f__FGB76790	0.00732	c21_1901_3_S29
k__Bacteria|p__Firmicutes|c__CFGB10667|o__OFGB10667|f__FGB10667	0.00262	c21_1901_3_S29
k__Bacteria|p__Firmicutes|c__CFGB75984|o__OFGB75984|f__FGB75984	0.00169	c21_1901_3_S29
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae	0.00159	c21_1901_3_S29
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Duncaniella	11.6699	c21_1901_3_S29
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Desulfovibrio	7.81671	c21_1901_3_S29
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Lachnospiraceae_unclassified	5.74583	c21_1901_3_S29
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidales_unclassified|g__Bacteroidales_unclassified	5.3578	c21_1901_3_S29
k__Bacteria|p__Bacteroidetes|c__CFGB635|o__OFGB635|f__FGB635|g__GGB27872	4.92712	c21_1901_3_S29
k__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales|f__Peptoniphilaceae|g__GGB27905	4.22808	c21_1901_3_S29
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Muribaculaceae_unclassified	4.13543	c21_1901_3_S29
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus	3.64045	c21_1901_3_S29
k__Bacteria|p__Firmicutes|c__CFGB76539|o__OFGB76539|f__FGB76539|g__GGB28404	2.82189	c21_1901_3_S29
k__Bacteria|p__Bacteria_unclassified|c__CFGB8157|o__OFGB8157|f__FGB8157|g__GGB28898	2.75826	c21_1901_3_S29
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Muribaculum	2.45756	c21_1901_3_S29
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__GGB27876	2.30864	c21_1901_3_S29
k__Bacteria|p__Bacteroidetes|c__CFGB76111|o__OFGB76111|f__FGB76111|g__GGB79628	2.24986	c21_1901_3_S29
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__GGB27860	2.21403	c21_1901_3_S29
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriaceae|g__GGB28791	1.91192	c21_1901_3_S29
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__GGB46159	1.68139	c21_1901_3_S29
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__GGB27929	1.67397	c21_1901_3_S29
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__GGB28846	1.36826	c21_1901_3_S29
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Faecalibaculum	1.30091	c21_1901_3_S29
k__Bacteria|p__Firmicutes|c__CFGB76314|o__OFGB76314|f__FGB76314|g__GGB28793	1.07455	c21_1901_3_S29
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified|f__Clostridia_unclassified|g__GGB28934	1.00217	c21_1901_3_S29
k__Bacteria|p__Firmicutes|c__CFGB76074|o__OFGB76074|f__FGB76074|g__GGB28949	0.99295	c21_1901_3_S29
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides	0.90195	c21_1901_3_S29
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Akkermansiaceae|g__Akkermansia	0.84199	c21_1901_3_S29
k__Bacteria|p__Firmicutes|c__CFGB76077|o__OFGB76077|f__FGB76077|g__GGB28851	0.79855	c21_1901_3_S29
k__Bacteria|p__Firmicutes|c__CFGB72926|o__OFGB72926|f__FGB72926|g__GGB3661	0.76494	c21_1901_3_S29
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Adlercreutzia	0.7128	c21_1901_3_S29
k__Bacteria|p__Firmicutes|c__CFGB76322|o__OFGB76322|f__FGB76322|g__GGB28958	0.70177	c21_1901_3_S29
k__Bacteria|p__Firmicutes|c__CFGB8152|o__OFGB8152|f__FGB8152|g__GGB28864	0.68126	c21_1901_3_S29
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB30457	0.64234	c21_1901_3_S29
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__GGB28836	0.60472	c21_1901_3_S29
k__Bacteria|p__Bacteroidetes|c__CFGB9397|o__OFGB9397|f__FGB9397|g__GGB27885	0.59336	c21_1901_3_S29
k__Bacteria|p__Bacteria_unclassified|c__CFGB9644|o__OFGB9644|f__FGB9644|g__GGB79804	0.5713	c21_1901_3_S29
k__Bacteria|p__Firmicutes|c__CFGB76354|o__OFGB76354|f__FGB76354|g__GGB28381	0.54442	c21_1901_3_S29
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified|o__Bacteria_unclassified|f__Bacteria_unclassified|g__GGB28963	0.53581	c21_1901_3_S29
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Parasutterella	0.5301	c21_1901_3_S29
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified|o__Bacteria_unclassified|f__Bacteria_unclassified|g__Bacteria_unclassified	0.52488	c21_1901_3_S29
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB30454	0.50405	c21_1901_3_S29
k__Bacteria|p__Bacteria_unclassified|c__CFGB76311|o__OFGB76311|f__FGB76311|g__GGB28903	0.50056	c21_1901_3_S29
k__Bacteria|p__Firmicutes|c__CFGB9479|o__OFGB9479|f__FGB9479|g__GGB28330	0.49169	c21_1901_3_S29
k__Bacteria|p__Firmicutes|c__CFGB9827|o__OFGB9827|f__FGB9827|g__GGB29531	0.47334	c21_1901_3_S29
k__Bacteria|p__Firmicutes|c__CFGB76288|o__OFGB76288|f__FGB76288|g__GGB28782	0.47288	c21_1901_3_S29
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Oscillospiraceae_unclassified	0.46417	c21_1901_3_S29
k__Bacteria|p__Firmicutes|c__CFGB76293|o__OFGB76293|f__FGB76293|g__GGB28875	0.46236	c21_1901_3_S29
