description	pathway	GF2_hFMT2A_S44	GF2_mjMb2B_input_S53	GF2_myFMT1_S56	GF3_AMS001_inoc1_S36	HF10_hFMT1_S68	HF9_hFMT2_S42	Healthy_cecalSeekatz26_S2	c21_1835_3_S30	c21_1836_2_S31	c21_1836_3_S110	c21_1837_1_S114	c21_1837_2_S143	c21_1837_3_S138	c21_1839_1_S139	c21_1839_2_S115	c21_1841_1_S137	c21_1901_3_S29	c21_1907_1_S69	cecal_1191_2_S134	cecal_1275_1_S135	cecal_1275_2_S136	cecal_19_1210_1_S77	cecal_19_1210_3_S80	cecal_19_1212_3_S84	cecal_d21_1199_2_S99	cecal_d21_1199_3_S100	cecal_d21_1200_1_S90	cecal_d21_1200_3_S94	cecal_d21_1200_4_S133	cecal_d21_1203_1_S89	cecal_d21_1203_4_S103	cecal_d21_1205_2_S88	cecal_d21_1205_4_S93	cecal_d21_1207_2_S97	cecal_d21_1207_3_S95	cecal_d21_1207_4_S102	cecal_d21_1209_3_S96	cecal_d25_2935_S59	cecal_d25_3739_S45	cecal_d25_5925_S43	cecal_d25_5942_S46	cecal_d28_429_S66	cecal_d28_448_S65	cecal_d28_5505_S67	cecal_d28_5520_S64	cecal_d42_1216_1_S92	cecal_d42_1216_2_S87	cecal_d42_1217_2_S91	cecal_d42_1223_5_S101	cecal_d42_1225_1_S98	cecal_d42_1225_2_S132	cecal_d46_2933_S48	cecal_d46_2949_S47	cecal_d46_2956_S58	cecal_d46_2966_S38	cecal_d46_3755_S49	cecal_d46_3765_S39	cecal_d46_3827_S57	cecal_d46_3_C18_C23836_S51	cecal_d46_4837_S52	cecal_d46_4914_S54	cecal_d46_5957_S50	cecal_d46_5964_S55	d0_1840_2_S112	d11_1203_1_S72	d11_1205_2_S75	d11_1840_1_S21	d11_1840_2_S24	d11_1840_3_S27	d11_1901Seekatz24_S1	d18_1835_1_S25	d18_1835_3_S22	d18_1836_2_S111	d18_1836_3_S105	d18_1836_4_S116	d18_1837_1_S142	d18_1837_2_S113	d18_1839_1_S108	d18_1839_2_S34	d18_1839_3_S109	d18_1840Seekatz18_S3	d18_1901_3_S26	d18_1907_1_S71	d19_1199_2_S79	d19_1199_3_S81	d19_1200_1_S83	d19_1200_2_S78	d19_1203Seekatz34_S6	d19_1203_1_S35	d19_1203_3_S32	d19_1205_2_S82	d19_1207_1_S85	d19_1207_4_S33	d21_2935_S37	d21_3739_S36	d21_429_S63	d21_448_S62	d21_5220_S61	d21_5505_S60	d21_5925_S40	d21_5942_S41	d4_1203_2_S131	d4_1205_2_S73	d4_1840_1_S140	d4_1840_2_S141	dGF2_hFMT1B_S117	dn7_1203_1_S74	dn7_1205_1_S76	dn7_1835_1_S23	dn7_1840_2_S106	dn7_1840_3_S107	healthy_cecal_1913_1_S28	healthy_cecal_1913_2_S70	humanDonor_exp2_S86	mouseFMT_exp1_S130
PEPTIDOGLYCANSYN-PWY	peptidoglycan biosynthesis I (meso-diaminopimelate containing)	634.579	282.746	401.709	606.597	616.406	594.874	252.471	415.684	426.701	425.333	546.608	564.09	549.365	510.25	520.291	408.873	386.242	454.179	543.818	349.47	383.332	460.977	429.277	509.222	364.671	406.797	426.075	343.385	406.061	516.817	611.356	357.522	313.855	462.376	461.188	514.895	379.65	442.564	447.458	444.342	438.567	469.041	471.397	468.59	452.784	448.636	464.825	494.145	449.645	405.531	450.979	292.471	359.745	647.559	517.02	421.033	484.838	382.782	357.647	450.124	447.305	392.053	422.804	1646.91	407.243	548.731	609.637	611.811	611.338	1249.88	423.867	411.001	432.962	365.411	431.712	553.377	506.433	479.739	471.711	529.147	352.272	434.589	419.466	448.156	401.742	411.689	452.14	476.31	478.36	425.587	415.754	465.072	559.058	488.431	453.255	512.63	454.547	475.807	461.504	466.556	465.806	388.169	753.159	537.355	487.861	614.895	217.338	371.017	413.386	282.127	324.42	334.638	296.35	429.607	323.415
PHOSLIPSYN-PWY	phospholipid biosynthesis I (bacteria)	211.16	38.9	58.722	186.386	142.193	158.618	52.4199	210.227	169.564	207.159	133.949	189.037	107.209	303.578	83.0899	182.31	51.7804	98.2584	3.27395	15.5287	22.6313	188.4	219.412	228.039	121.022	117.759	76.3672	77.5935	114.929	242.247	272.606	15.7356	28.3949	193.771	148.699	255.229	31.5195	261.184	216.693	176.022	147.347	182.721	255.555	162.195	211.88	298.948	328.331	376.25	102.618	48.556	63.0672	145.421	102.244	174.55	141.245	32.7355	175.143	153.536	155.235	123.413	138.689	124.544	135.066	0.811748	341.147	260.896	253.706	253.376	267.154	0	179.16	210.445	228.508	182.699	172.033	199.117	205.954	279.831	255.664	287.857	11.1673	107.566	209.639	124.118	191.638	46.7061	88.3688	314.189	395.016	362.439	70.7776	287.005	196.297	316.322	236.852	248.34	275.165	250.74	181.642	190.198	238.699	309.6	16.7194	370.73	398.348	220.489	67.1077	33.7895	25.8408	13.8009	103.067	39.3776	45.5901	243.087	26.1262
POLYAMINSYN3-PWY	polyamine biosynthesis	12.1414	0	0	7.86044	5.27868	13.6585	1.58687	0	0	0	0	0	0	0	0	0	1.60527	0	0	0	2.71881	0	0	5.01557	0	0	0	0	0	0	0	2.53645	2.39872	0	0	0	0	0	0	0	0	2.95368	0	5.0881	0	0	0	0	0	0	1.36409	2.11236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.04655	0.900251	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.1545	1.30445	0	0	0	0	0	12.5268	1.32039	1.45681	3.04239	0	11.6015	0.705311	1.70999	1.92982	0
POLYAMSYN-PWY	polyamine biosynthesis	31.0084	1.27339	0	22.7537	12.9145	23.6865	2.63533	16.9753	20.5175	13.2209	2.30309	0	0	0	1.87476	32.4135	8.41036	25.2151	2.72876	0	8.478	28.1677	37.5207	33.2801	3.57417	22.0228	4.1641	2.17254	0	38.0133	33.3768	6.81195	4.64116	27.4693	24.3701	37.1198	0.721401	11.379	9.64835	6.7046	5.73985	7.82224	31.7621	9.08849	22.0624	168.538	195.909	221.62	15.3339	4.11854	4.20328	4.36862	0	94.69	15.4406	0	18.3038	3.73091	2.37707	15.2044	17.1625	3.01875	5.57574	0	188.288	113.556	118.246	112.062	124.852	0	26.1148	24.767	35.2476	18.5089	27.0637	4.34517	4.33714	4.99822	4.77269	2.10422	3.00765	6.56008	50.3809	10.038	34.5362	1.56613	1.35175	71.1173	111.964	98.2553	6.14944	42.9285	19.4489	7.34775	5.775	7.99932	16.1661	10.8966	20.0028	9.18337	8.91761	119.819	0	83.0072	120.074	30.3471	4.90749	9.31167	9.28212	4.22105	48.5288	2.25657	2.19076	43.5331	6.59061
POLYISOPRENSYN-PWY	polyisoprenoid biosynthesis (E. coli)	12.7125	0	46.7807	39.1975	38.9391	45.7697	7.21411	131.276	125.203	140.062	231.33	251.712	244.33	7.02573	1.81937	150.43	7.85	120.603	0	1.63575	0.290442	35.0517	64.0153	62.3557	113.145	113.396	102.458	102.728	117.189	54.6313	51.0069	4.0159	0	51.5837	28.2086	66.2283	4.99901	128.695	226.275	104.452	77.7722	92.4382	27.5305	105.419	26.9053	155.649	173.135	198.806	157.866	29.3091	49.7369	0	0	113.293	9.55758	6.57875	248.471	22.7643	0	16.23	12.6703	18.1785	48.8455	0	170.897	112.386	149.277	139.557	157.423	0	169.449	146.869	142.359	130.558	129.827	259.488	223.802	7.68061	12.6981	14.5307	0.965897	14.5539	105.879	59.4119	76.99	88.695	115.681	94.281	139.56	132.938	6.38796	57.3837	42.3215	159.197	132.882	2.27142	5.79324	9.59822	115.45	57.4652	59.3967	130.943	0.981631	108.097	136.592	13.3088	17.8845	9.62073	3.14991	2.49279	37.7347	4.43147	6.61052	63.5743	8.8359
PPGPPMET-PWY	ppGpp metabolism	114.7	69.7437	18.7395	105.196	118.875	122.046	34.9125	4.84659	1.69814	0.191195	0.390574	0	0	0	0.3858	4.22695	36.3704	0.79348	3.59352	0	4.71811	4.70341	6.75505	9.5668	1.50954	7.89967	5.38811	2.82596	3.66652	10.5043	9.5156	3.65064	6.23955	9.9938	4.65098	16.3345	6.52726	4.77586	0	0	1.21866	2.39227	0	1.25202	0	95.9343	61.3395	58.0643	2.09233	0	2.11493	18.8111	15.7057	22.2604	6.6809	0	3.81659	10.0275	45.1597	3.02081	4.07964	0.31387	0	0	38.4118	28.3772	28.3476	26.242	28.1407	0	0.33881	1.57993	2.42879	1.2249	1.95209	0	1.92785	2.58809	3.0397	0	14.7108	47.3603	2.25097	6.1024	4.85608	0	0	18.4303	28.1888	25.1545	3.88674	9.45177	6.64138	0	2.56193	0	0	0.515602	2.13646	0	0.542432	26.554	1.25799	19.0653	25.7371	104.312	36.0979	78.597	48.5877	20.4509	43.0967	9.97712	26.0429	14.5704	38.4471
PROPFERM-PWY	L-alanine degradation	7.18215	3.0168	1.27652	4.46176	4.90829	7.27165	3.04628	0	0	0	0	0	0	0	0	0	6.04359	0	0	0	1.93785	0	0	0	0	0	0	0	0	0	0	5.44286	1.43494	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.950796	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.8194	5.21418	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.09869	1.60714	1.67414	4.66921	6.92258	7.25976	2.808	5.79084	5.86302	1.75111
PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY	protocatechuate degradation II (ortho-cleavage pathway)	0	2.82151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.969724	0	0	0	1.34364	0	0	0.425704	0	0.369429	0	0	0	0	0	0	1.05319	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.50237	2.0014	0	0	0	0	0	0
PRPP-PWY	histidine, purine, and pyrimidine biosynthesis	0	0	0	15.5463	11.2327	20.0064	0	4.71796	14.8315	0	0	0	0	0	0	32.7342	0	23.5001	0	0	0	52.7431	66.7022	54.8477	0	26.6913	0	0	0	65.3877	63.2648	0	0	46.4747	35.6588	59.0621	0	0	0	0	0	0	0	7.04266	0	141.724	173.978	196.61	21.4524	0	0	0	0	102.194	18.5831	0	0	0	0	14.93	15.2154	0	0	0	165.535	127.742	131.229	126.166	137.923	0	9.08843	12.2786	18.3132	7.67832	14.8927	0	0	0	0	0	0	0	42.8827	3.99966	48.84	0	0	98.8898	148.879	127.508	0	68.6396	34.6424	0	0	0	0	0	0	0	0	138.22	0	126.392	156.587	0	0	0	0	0	36.5546	0	0	63.5874	0
PWY-1042	glycolysis IV	880.603	643.677	501.373	803.422	899.02	848.476	387.752	514.467	546.413	596.788	665.846	727.943	680.016	338.185	333.414	491.588	577.181	387.616	477.4	579.637	638.016	310.968	339.256	298.082	395.605	443.554	349.604	346.605	447.331	405.274	219.485	597.959	529.584	416.249	289.518	390.952	383.043	539.315	570.084	465.558	448.093	499.17	459.52	452.913	409.469	460.887	470.259	478.326	439.529	156.134	246.156	528.516	362.712	257.939	394.447	305.746	656.927	422.365	584.848	467.419	528.491	481.464	470.965	2.04498	393.01	351.541	317.396	317.136	332.188	0	549.395	535.818	591.759	566.604	550.122	691.482	670.046	584.226	608.802	436.424	539.056	571.74	470.298	446.92	439.403	313.309	338.47	263.982	302.808	349.036	505.533	184.57	263.049	492.609	389.561	421.446	503.677	466.288	537.143	501.569	460.812	468.267	104.772	283.796	306.877	875.515	301.802	551.204	563.238	431.742	467.963	412.378	475.513	381.258	561.178
PWY-1269	CMP-3-deoxy-D-manno-octulosonate biosynthesis	8.31002	53.5949	39.473	22.1346	13.8139	30.8311	50.8241	170.138	131.356	145.974	216.635	216.355	238.425	313.826	345.893	158.456	49.1285	235.528	285.773	1.75702	46.0498	306.454	283.29	336.436	114.23	79.7147	134.773	92.5359	109.381	324.153	474.802	39.4117	44.8632	290.661	305.182	350.263	66.1567	164.016	214.243	122.831	107.431	135.89	288.057	138.598	309.692	285.431	312.726	335.77	189.542	165.3	215.601	161.287	130.924	188.974	358.924	230.518	209.776	197.75	110.679	129.948	142.807	93.0394	134.513	0	236.946	299.37	257.837	257.13	297.337	0	109.772	155.049	155.327	137.932	187.328	99.6498	119.976	244.256	226.401	316.394	29.6013	70.2517	214.756	149.702	147.723	148.465	147.268	328.969	318.693	255.696	149.581	321.26	395.521	254.366	285.779	334.277	257.525	272.532	136.811	130.043	155.482	182.833	590.548	326.546	280.291	6.50978	56.4732	107.002	61.6945	28.8216	81.3176	16.913	31.9684	246.133	72.1753
PWY-1861	formaldehyde assimilation II (assimilatory RuMP Cycle)	184.57	13.8265	4.31192	105.511	80.8653	87.45	9.70093	48.4556	11.3424	11.8738	13.0545	53.053	35.2777	156.5	12.6626	58.3213	31.8758	34.9425	11.5487	0.400762	18.0216	18.1932	14.5511	0	11.7252	7.57932	0	0	0	0	0	14.1286	14.5204	16.4663	0	2.44606	0	169.631	84.7241	38.9355	49.8459	44.535	118.634	35.3961	29.1261	0	0	0	6.85082	0	1.50105	10.6987	0	0	51.2128	1.26253	97.6804	151.022	4.26133	74.6204	93.6354	123.264	68.3272	0.376811	0	0	0	0	0	0	165.072	100.589	49.9736	40.2116	60.7791	115.537	142.978	56.4154	54.9828	102.376	16.192	23.1259	153.327	17.2678	11.9735	0	1.9146	0	0	0	2.8288	0	0	48.0639	46.4667	64.9565	85.4125	76.7224	67.8004	39.0538	38.7745	0.22433	0	0	0	214.469	4.2873	5.772	19.2905	13.9471	26.0763	4.04034	12.5666	18.4436	1.48003
PWY-241	C4 photosynthetic carbon assimilation cycle, NADP-ME type	140.25	8.20341	13.3329	187.772	237.659	181.221	1.30835	24.9521	51.6627	35.6453	0	0.566725	0	4.27918	0.612904	42.6443	13.8838	29.654	6.88317	6.40138	8.0993	60.4578	87.6066	59.24	0.402721	39.7873	1.83946	0.741863	0	81.018	87.9755	5.9244	3.08142	53.9835	39.26	77.2052	2.16641	16.234	3.62959	8.84578	7.61652	10.0782	39.6344	5.37009	4.65222	180.216	200.756	209.851	24.0512	0	0.529541	7.66658	0	105.198	11.3623	0	6.67626	0	6.349	11.4124	13.6409	2.46118	3.9582	0	186.572	141.523	134.896	126.075	144.256	0	79.2093	47.1276	35.749	33.4692	57.1107	1.95595	2.07165	9.79553	13.6491	17.6485	5.2958	26.6541	60.5288	4.67834	75.0074	0.951757	0.652613	140.342	194.677	168.127	5.56828	90.1845	46.5454	1.79141	0	46.6197	43.492	65.1854	14.0077	10.9134	7.82438	196.315	0	170.302	184.62	133.924	8.20986	10.2104	13.0559	14.0899	39.5712	13.179	27.2883	110.23	6.56141
PWY-2941	L-lysine biosynthesis II	190.57	112.213	214.395	101.028	120.009	117.987	62.7276	222.705	217.873	242.354	250.777	258.62	279.114	397.648	390.121	220.831	84.7255	262.981	19.3467	22.312	63.7112	287.955	275.357	232.142	226.66	215.409	232.17	194.249	215.203	6.54049	4.85715	49.9572	45.1864	2.04226	2.0413	5.65556	28.8338	415.603	291.46	219.011	192.915	244.768	388.191	248.652	364.466	121.207	60.4539	38.4444	224.749	185.192	241.835	229.959	281.698	560.583	424.228	35.1491	310.883	339.177	278.967	227.712	252.755	200.448	242.797	1596.18	138.856	107.801	484.658	498.673	422.589	1277.26	195.764	183.378	230.886	207.219	242.796	344.384	309.335	314.754	295.668	374.427	61.9381	73.2861	249.933	302.519	258.358	225.351	197.107	15.4874	20.9949	55.0572	70.5334	37.1473	10.5244	346.973	304.164	386.951	387.435	362.51	231.269	238.655	246.648	204.424	40.4111	177.82	178.922	144.378	105.974	96.1783	73.7159	85.9855	71.7175	99.8463	128.062	65.9168	86.2859
PWY-2942	L-lysine biosynthesis III	505.815	293.686	357.787	491.8	578.601	514.079	232.694	411.8	430.751	434.178	552.984	574.568	563.709	538.741	511.618	380.895	342.83	444.232	518.918	335.391	401.861	420.32	387.887	457.109	364.12	405.228	395.188	350.149	383.308	515.92	593.005	364.611	344.586	488.143	493.268	512.87	420.408	426.435	466.621	396.738	385.465	428.61	486.976	433.015	484.62	466.426	460.73	464.581	440.004	428.435	440.014	291.55	337.943	609.831	553.144	362.08	504.454	421.023	299.375	412.088	399.146	345.678	414.755	1588.66	402.189	536.004	625.551	634.733	595.541	1324.52	393.517	401.689	436.36	373.74	423.44	528.656	524.589	552.678	549.479	552.05	310.475	375.203	386.621	450.613	383.645	396.129	395.947	418.14	382.007	355.679	499.741	436.123	494.807	462.615	470.074	527.937	470.561	475.553	415.847	387.026	415.34	318.047	623.734	449.52	372.033	486.798	189.483	319.604	331.598	277.637	295.131	299.126	314.168	417.841	346.674
PWY-3001	L-isoleucine biosynthesis I	482.236	141.223	178.311	467.078	552.426	488.083	124.077	220.798	221.977	185.338	146.55	219.52	224.084	333.612	201.708	260.39	157.57	118.402	126.367	62.9659	108.334	208.421	206.797	260.625	122.025	193.228	128.407	114.492	189.807	287.122	166.76	121.678	134.171	275.258	178.836	234.133	87.8194	396.865	305.529	269.207	265.004	266.464	301.496	254.933	229.056	306.281	337.22	382.751	128.639	75.8019	75.8316	151.071	109.089	276.685	197.082	133.01	257.747	284.263	154.663	187.027	187.463	179.723	144.818	0	322.494	257.35	365.782	347.567	368.267	0	298.507	234.197	208.683	189.563	267.545	426.15	376.017	315.117	336.247	286.155	142.392	140.83	242.24	152.201	200.509	103.218	162.427	257.895	350.186	306.897	129.41	228.265	167.966	410.056	366.884	281.084	299.837	339.161	324.228	343.895	311.142	335.183	162.868	424.542	419.692	456.853	118.233	149.713	203.98	174.689	199.425	131.392	186.954	273.505	139.088
PWY-3781	aerobic respiration I (cytochrome c)	1.76818	15.1962	3.29999	0.159226	0	0.703027	119.405	1.67707	8.34197	11.7294	1.19648	3.98875	2.55611	4.18853	3.55825	14.6879	2.57542	0.8844	3.62846	1.58893	6.90307	4.12809	11.9626	4.86238	8.1136	3.76072	0	16.0638	2.71132	11.9678	1.44097	32.8259	21.8407	6.13933	7.27747	6.17341	6.2218	4.04649	2.7154	0	0	0.70827	24.9822	2.83549	37.9111	64.1379	23.6964	22.8536	3.75662	7.4507	1.51408	2.13428	0	16.7191	3.93369	0	3.55491	8.5727	1.84526	0	0	0	0	22.6752	12.468	39.2361	20.1808	24.4256	29.6217	21.4265	2.78761	6.86547	6.1812	11.6432	4.68253	7.69645	5.60663	6.48912	9.1886	7.4817	4.9817	4.64608	5.50063	5.99873	12.9529	1.91855	0.91073	10.9537	6.93035	13.1056	12.9123	14.1155	7.29195	0	0	0.581508	4.76953	0	0	0.555611	0	37.5117	0	13.3064	16.3009	1.54132	83.8956	14.3051	2.20627	9.42958	3.37054	48.5356	40.4409	17.5637	5.01101
PWY-3841	folate transformations II (plants)	528.123	351.625	515.015	489.964	524.523	504.514	298.306	413.54	420.749	427.78	597.15	620.195	612.643	562.221	579.102	399.679	465.007	456.057	534.323	430.251	466.947	478.79	443.408	496.392	374.594	396.911	409.145	353.176	402.041	486.964	581.684	444.724	397.618	423.766	454.269	458.372	585.312	422.061	472.513	405.602	409.927	423.914	504.138	421.93	500.676	380.355	380.408	376.176	443.214	412.871	452.83	412.786	447.585	618.219	553.812	391.192	530.001	371.117	468.928	442.238	441.792	386.332	415.794	1782.63	363.439	514.121	589.013	601.138	550.067	1509.43	403.031	402.595	432.773	376.074	436.246	574.156	536.551	557.214	553.609	590.768	402.384	482.836	431.804	459.28	389.068	394.457	425.643	386.816	364.391	338.285	560.44	429.193	454.571	462.174	467.388	573.646	517.342	529.969	414.188	418.606	438.861	373.688	723.838	464.201	407.9	512.193	243.7	479.877	455.671	323.246	344.921	385.334	364.961	405.162	533.927
PWY-4041	&gamma;-glutamyl cycle	156.653	28.9933	52.5491	138.122	175.537	147.144	29.4976	20.0656	32.3534	15.4597	2.9103	8.00054	5.01036	28.0062	11.6732	62.3136	28.3129	31.5327	6.89809	0	4.98508	89.4031	119.607	104.919	10.1435	37.6672	8.18172	11.984	13.7152	105.912	108.97	4.60063	2.90591	70.8972	48.5003	86.7819	16.4949	33.1058	8.27621	13.3775	16.2199	17.9068	30.9988	14.8893	7.01528	208.487	229.583	256.259	43.2896	2.05102	1.46758	22.8888	28.2828	153.189	14.2437	26.2553	7.53703	9.67997	24.8315	19.3573	31.409	3.13022	5.0197	0	212.804	136.054	175.106	170.096	175.029	0	28.3076	27.6278	30.5562	25.7343	64.6325	190.683	93.5753	30.196	34.4503	64.1518	20.8113	25.0941	67.6408	11.0225	78.6899	20.3061	31.3001	163.982	216.271	197.184	33.7434	123.734	67.418	16.9026	9.19668	58.1635	61.6495	79.702	28.976	25.7032	24.5888	155.952	55.7238	263.461	289.93	147.239	44.7387	42.9126	42.5884	25.3388	50.2625	29.4712	33.1565	140.243	33.5543
PWY-4984	urea cycle	11.776	1.86725	0	19.2807	6.49449	19.9264	1.14682	142.575	169.82	160.214	224.946	139.681	177.276	24.6933	50.6402	130.995	1.25288	57.1484	0	0	2.14999	147.844	127.47	124.672	88.6292	97.2532	104.773	84.7604	105.906	0	0.713501	2.02758	1.94039	0	0	0	1.05759	91.4345	168.106	106.007	108.147	115.337	104.322	122.092	85.1363	0	0	0	133.653	92.379	119.831	1.76091	0	0	64.422	1.24701	169.98	75.3699	0	116.191	109.655	95.8728	118.403	0	0	0	0	0	0.471977	0	167.998	148.995	158.231	136.179	124.652	205.623	204.304	33.1904	30.7977	46.3927	2.55433	0.692141	79.2893	91.2393	72.8109	84.2948	72.7707	0	0.935731	0	0	0	1.06515	104.057	86.954	31.146	34.3818	46.1704	134.121	110.903	94.9899	0	0	0	0	11.9163	1.12198	1.15774	2.42179	3.03915	10.8634	3.24244	1.33722	1.70346	0
PWY-5004	L-citrulline metabolism	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.840903	0	0	0	0	0	0	0	0	0	0	0	1.86743	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.770591	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.56027	0	0	0	0
PWY-5005	biotin biosynthesis II	33.0007	0	0	13.5718	18.6182	14.8803	0.974311	0	0	0	0	0	0	0	0	0	5.52574	0	4.34085	0	4.19637	0	0	0	0	0	0	0	0	0	0	4.833	3.75744	0	6.31329	1.43788	3.23427	4.06884	0	0	0	0	0	0	0	0	0	0	0	1.44656	5.41408	4.51433	0	0	0	5.17393	0	0	5.76072	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.413908	0	0	0	0	0	5.02639	2.60765	0	0	0	0	0	0	0	0	0	0	0	1.97778	1.81468	0	0	0	0.622664	0	0	0	0	0	0	32.9512	1.85703	0	0.715462	0	9.24506	4.76761	5.4306	0.565088	1.6414
PWY-5022	4-aminobutanoate degradation V	1.98698	1.92997	47.4564	5.38781	7.30316	8.52367	4.56427	49.294	34.4921	23.9215	23.3952	13.8806	24.0083	12.1362	18.0316	68.9284	13.655	32.8328	7.16117	0	2.77942	47.9521	61.5896	79.4147	12.8824	34.0382	14.0487	14.465	14.7253	98.8824	112.209	6.184	1.98262	76.3734	44.2844	99.1267	0	42.8969	73.7162	36.7238	42.0262	39.4111	30.3364	25.5446	14.3983	0	0	0	34.2725	24.9484	20.3594	1.15505	0	0	50.0235	9.21706	87.7426	42.9505	3.64677	105.641	121.865	100.039	79.0808	0	0	0	0	0	1.74905	0	56.4418	57.2589	51.6385	25.3044	65.4212	51.6087	52.2343	33.4533	31.4369	43.2225	6.69677	14.3892	107.148	12.6194	64.0969	12.8069	11.2853	160.513	189.958	173.277	8.69436	113.096	69.0005	40.7174	34.9507	17.308	8.65906	21.6927	48.1275	40.2023	40.2774	97.5066	0	0	0	1.05758	19.6981	11.2167	2.77375	5.56047	22.0839	3.27925	11.7154	88.983	7.93874
PWY-5028	L-histidine degradation II	1.51069	0	0	1.97161	1.83894	3.6509	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.95332	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.20485	0	0	0	0	0	0	0	0	0
PWY-5030	L-histidine degradation III	20.862	62.8875	93.1633	29.9703	15.1249	37.6847	57.3419	225.631	204.857	213.568	414.509	469.934	446.965	346.605	369.782	228.141	64.0183	250.276	2.65741	9.05758	57.3592	352.7	310.035	315.446	189.429	153.676	224.292	161.892	218.714	0	0	77.7697	72.7349	4.39474	0	3.05671	37.8307	211.749	349.126	179.543	144.386	183.327	337.367	194.662	373.644	0	0	0	294.458	195.694	257.776	210.136	177.631	0	386.123	1.91327	392.674	267.875	179.889	139.445	159.077	114.007	157.46	0.467611	0	0	0	0	0.339095	0	235.051	230.997	210.516	194.136	200.683	347.323	356.362	280.001	265.425	335.816	56.6025	74.9858	212.749	223.078	175.221	205.311	262.711	0	0	0.160353	133.888	0	0.327167	339.814	354.995	430.741	332.171	356.821	162.354	147.162	194.675	21.9584	0	0	0.199842	20.8993	22.7571	57.5959	65.3013	40.4908	52.7734	15.1188	55.9166	1.97458	64.739
PWY-5055	nicotinate degradation III	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.468798	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.850695	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5088	L-glutamate degradation VIII (to propanoate)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.441127	0.279361	0	0	0	0.33572	1.69332	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.56531	0.737771	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.323685	0	0	0	0
PWY-5097	L-lysine biosynthesis VI	600.425	348.275	358.647	609.729	662.637	616.375	230.648	397.536	385.934	394.001	511.849	535.904	521.468	524.139	506.268	375.463	355.553	433.7	521.199	335.531	397.901	425.379	395.55	454.154	342.526	360.29	376.251	321.54	379.969	472.637	540.012	363.701	340.755	437.5	436.559	456.928	411.806	429.668	458.55	394.89	382.84	424.073	454.975	426.307	467.006	462.539	463.756	466.338	422.136	383.626	416.757	374.432	436.457	613.012	509.676	378.539	477.501	384.609	410.835	409.796	407.099	348.744	408.108	1576.55	396.339	534.945	626.175	633.941	597.41	1310.33	378	381.454	400.585	341.027	395.266	466.196	460.75	543.101	546.539	508.73	342.052	394.139	383.162	421.144	363.751	383.056	380.688	377.557	346.648	347.69	448.253	399.639	465.836	466.914	459.929	521.047	474.968	481.246	420.146	399.935	415.64	318.721	613.752	407.227	373.418	562.296	198.015	314.16	344.643	278.966	295.942	300.803	317.166	399.282	362.753
