description	category
PWY-6073	Carbohydrates-Biosynthesis
PWY-6082	Carbohydrates-Biosynthesis
PWY-6403	Carbohydrates-Biosynthesis
PWY-6566	Carbohydrates-Biosynthesis
PWY-6567	Carbohydrates-Biosynthesis
PWY-8243	Carbohydrates-Biosynthesis
PWY-8490	Carbohydrates-Biosynthesis
PWY-6568	Carbohydrates-Biosynthesis
ECASYN-PWY	Carbohydrates-Biosynthesis
PWY-822	Carbohydrates-Biosynthesis
GLYCOGENSYNTH-PWY	Carbohydrates-Biosynthesis
PWY-5067	Carbohydrates-Biosynthesis
PWY-7900	Carbohydrates-Biosynthesis
PWY-6558	Carbohydrates-Biosynthesis
PWY-8459	Carbohydrates-Biosynthesis
PWY-6524	Carbohydrates-Biosynthesis
PWY0-1609	Carbohydrates-Biosynthesis
PWY-5337	Carbohydrates-Biosynthesis
PWY-622	Carbohydrates-Biosynthesis
PWY-6525	Carbohydrates-Biosynthesis
PWY-8460	Carbohydrates-Biosynthesis
PWY-8461	Carbohydrates-Biosynthesis
PWY-8133	Carbohydrates-Biosynthesis
PWY-6655	Carbohydrates-Biosynthesis
PWY-5936	Carbohydrates-Biosynthesis
PWY-6981	Carbohydrates-Biosynthesis
PWY-6569	Carbohydrates-Biosynthesis
PWY-6571	Carbohydrates-Biosynthesis
PWY-8227	Carbohydrates-Biosynthesis
PWY-6564	Carbohydrates-Biosynthesis
PWY2B4Q-8	Carbohydrates-Biosynthesis
LIPA-CORESYN-PWY	Carbohydrates-Biosynthesis
PWY2DNV-4	Carbohydrates-Biosynthesis
PWY-8248	Carbohydrates-Biosynthesis
PWY1R65-1	Carbohydrates-Biosynthesis
PWY-7832	Carbohydrates-Biosynthesis
PWY-7831	Carbohydrates-Biosynthesis
PWY-7981	Carbohydrates-Biosynthesis
PWY-7833	Carbohydrates-Biosynthesis
PWY-7920	Carbohydrates-Biosynthesis
PWY-7426	Carbohydrates-Biosynthesis
PWY-6557	Carbohydrates-Biosynthesis
PWY-7837	Carbohydrates-Biosynthesis
PWY-7433	Carbohydrates-Biosynthesis
PWY-7435	Carbohydrates-Biosynthesis
PWY-7031	Carbohydrates-Biosynthesis
PWY-7661	Carbohydrates-Biosynthesis
PWY-7658	Carbohydrates-Biosynthesis
MANNOSYL-CHITO-DOLICHOL-BIOSYNTHESIS	Carbohydrates-Biosynthesis
PWY-8323	Carbohydrates-Biosynthesis
PWY-8322	Carbohydrates-Biosynthesis
PWY-7918	Carbohydrates-Biosynthesis
PWY-7919	Carbohydrates-Biosynthesis
PWY-7037	Carbohydrates-Biosynthesis
PWY-7921	Carbohydrates-Biosynthesis
PWY-7922	Carbohydrates-Biosynthesis
PWY-7979	Carbohydrates-Biosynthesis
PWY-7437	Carbohydrates-Biosynthesis
PWY-7434	Carbohydrates-Biosynthesis
PWY-6992	Carbohydrates-Degradation
PWY-7180	Carbohydrates-Degradation
PWY-8121	Carbohydrates-Degradation
PWY-8060	Carbohydrates-Degradation
PWY-8058	Carbohydrates-Degradation
PWY0-1300	Carbohydrates-Degradation
PWY-7562	Carbohydrates-Degradation
PWY-6507	Carbohydrates-Degradation
PWY-7586	Carbohydrates-Degradation
PWY-6906	Carbohydrates-Degradation
PWY0-1309	Carbohydrates-Degradation
PWY-7828	Carbohydrates-Degradation
PWY0-44	Carbohydrates-Degradation
PWY-8089	Carbohydrates-Degradation
PWY-8093	Carbohydrates-Degradation
DARABCAT-PWY	Carbohydrates-Degradation
DARABCATK12-PWY	Carbohydrates-Degradation
PWY-5519	Carbohydrates-Degradation
PWY-8331	Carbohydrates-Degradation
PWY-8334	Carbohydrates-Degradation
PWY-7395	Carbohydrates-Degradation
PWY-6317	Carbohydrates-Degradation
GALDEG-PWY	Carbohydrates-Degradation
PWY-6693	Carbohydrates-Degradation
PWY0-1602	Carbohydrates-Degradation
MANNCAT-PWY	Carbohydrates-Degradation
PWY3O-1743	Carbohydrates-Degradation
PWY-8324	Carbohydrates-Degradation
XYLCAT-PWY	Carbohydrates-Degradation
PWY-5516	Carbohydrates-Degradation
PWY-6760	Carbohydrates-Degradation
PWY-7294	Carbohydrates-Degradation
PWY-7178	Carbohydrates-Degradation
PWY-8020	Carbohydrates-Degradation
PWY-8330	Carbohydrates-Degradation
PWY4FS-13	Carbohydrates-Degradation
PWY0-1314	Carbohydrates-Degradation
GLUCOSE1PMETAB-PWY	Carbohydrates-Degradation
DHGLUCONATE-PYR-CAT-PWY	Carbohydrates-Degradation
PWY-7459	Carbohydrates-Degradation
ARABCAT-PWY	Carbohydrates-Degradation
PWY-5515	Carbohydrates-Degradation
PWY-5517	Carbohydrates-Degradation
PWY-7295	Carbohydrates-Degradation
PWY-8329	Carbohydrates-Degradation
FUCCAT-PWY	Carbohydrates-Degradation
PWY-8444	Carbohydrates-Degradation
PWY-8318	Carbohydrates-Degradation
PWY-7568	Carbohydrates-Degradation
PWY-7130	Carbohydrates-Degradation
LYXMET-PWY	Carbohydrates-Degradation
RHAMCAT-PWY	Carbohydrates-Degradation
PWY-6713	Carbohydrates-Degradation
PWY-6714	Carbohydrates-Degradation
P302-PWY	Carbohydrates-Degradation
LACTOSECAT-PWY	Carbohydrates-Degradation
LACTOSEUTIL-PWY	Carbohydrates-Degradation
BGALACT-PWY	Carbohydrates-Degradation
PWY-6778	Carbohydrates-Degradation
MALTOSECAT-PWY	Carbohydrates-Degradation
PWY0-1301	Carbohydrates-Degradation
PWY-8402	Carbohydrates-Degradation
PWY-7077	Carbohydrates-Degradation
PWY0-1324	Carbohydrates-Degradation
PWY-7581	Carbohydrates-Degradation
RIBOKIN-PWY	Carbohydrates-Degradation
PWY-6527	Carbohydrates-Degradation
SUCUTIL-PWY	Carbohydrates-Degradation
PWY-3801	Carbohydrates-Degradation
PWY-621	Carbohydrates-Degradation
PWY-5384	Carbohydrates-Degradation
PWY66-373	Carbohydrates-Degradation
SUCROSEUTIL2-PWY	Carbohydrates-Degradation
PWY-7446	Carbohydrates-Degradation
PWY-7722	Carbohydrates-Degradation
PWY-8213	Carbohydrates-Degradation
PWY-8348	Carbohydrates-Degradation
PWY-8349	Carbohydrates-Degradation
PWY-8350	Carbohydrates-Degradation
TREDEGLOW-PWY	Carbohydrates-Degradation
PWY0-1182	Carbohydrates-Degradation
PWY-2721	Carbohydrates-Degradation
PWY-2722	Carbohydrates-Degradation
PWY-2723	Carbohydrates-Degradation
PWY0-1466	Carbohydrates-Degradation
PWY4FS-12	Carbohydrates-Degradation
GLUAMCAT-PWY	Carbohydrates-Degradation
PWY-6517	Carbohydrates-Degradation
PWY-7247	Carbohydrates-Degradation
PWY-7242	Carbohydrates-Degradation
GALACTUROCAT-PWY	Carbohydrates-Degradation
PWY-6486	Carbohydrates-Degradation
PWY-8391	Carbohydrates-Degradation
PWY-6491	Carbohydrates-Degradation
PWY-5525	Carbohydrates-Degradation
PWY-6501	Carbohydrates-Degradation
PWY-8390	Carbohydrates-Degradation
GLUCUROCAT-PWY	Carbohydrates-Degradation
PWY-6516	Carbohydrates-Degradation
PWY-6816	Carbohydrates-Degradation
PWY-6986	Carbohydrates-Degradation
PWY-6788	Carbohydrates-Degradation
PWY-7118	Carbohydrates-Degradation
PWY-6572	Carbohydrates-Degradation
PWY-7646	Carbohydrates-Degradation
PWY-6827	Carbohydrates-Degradation
PWY-7662	Carbohydrates-Degradation
PWY-7651	Carbohydrates-Degradation
PWY-7644	Carbohydrates-Degradation
PWY-7645	Carbohydrates-Degradation
PWY-8314	Carbohydrates-Degradation
PWY-6822	Carbohydrates-Degradation
PWY-6821	Carbohydrates-Degradation
PWY-6817	Carbohydrates-Degradation
PWY-7248	Carbohydrates-Degradation
PWY-6815	Carbohydrates-Degradation
PWY-6771	Carbohydrates-Degradation
PWY-6731	Carbohydrates-Degradation
PWY-6735	Carbohydrates-Degradation
PWY-6737	Carbohydrates-Degradation
PWY-7647	Carbohydrates-Degradation
PWY-7345	Carbohydrates-Degradation
PWY-6901	Carbohydrates-Degradation
PWY-6784	Carbohydrates-Degradation
PWY-6789	Carbohydrates-Degradation
PWY-6717	Carbohydrates-Degradation
PWY-7456	Carbohydrates-Degradation
PWY-6805	Carbohydrates-Degradation
PWY-6855	Carbohydrates-Degradation
PWY-6902	Carbohydrates-Degradation
PWY-7822	Carbohydrates-Degradation
PWY-6573	Carbohydrates-Degradation
PWY-6576	Carbohydrates-Degradation
PWY-862	Carbohydrates-Degradation
PWY-6813	Carbohydrates-Degradation
GLYCOCAT-PWY	Carbohydrates-Degradation
PWY-5941	Carbohydrates-Degradation
PWY-7246	Carbohydrates-Degradation
PWY-1081	Carbohydrates-Degradation
PWY-8006	Carbohydrates-Degradation
PWY-6769	Carbohydrates-Degradation
PWY-842	Carbohydrates-Degradation
PWY-6724	Carbohydrates-Degradation
PWY-6791	Carbohydrates-Degradation
PWY-6807	Carbohydrates-Degradation
PWY-6812	Carbohydrates-Degradation
PWY-5782	Carboxylate-Biosynthesis
PWY-6164	Carboxylate-Biosynthesis
PWY-6160	Carboxylate-Biosynthesis
PWY-6163	Carboxylate-Biosynthesis
PWY-8044	Carboxylate-Biosynthesis
PWY-5750	Carboxylate-Biosynthesis
PWY-8018	Carboxylate-Biosynthesis
PWY-6699	Carboxylate-Biosynthesis
ARO-PWY	Carboxylate-Biosynthesis
PWY-6165	Carboxylate-Biosynthesis
PWY-5654	Carboxylate-Degradation
PWY-5652	Carboxylate-Degradation
PWY-5162	Carboxylate-Degradation
PWY0-42	Carboxylate-Degradation
PWY-5747	Carboxylate-Degradation
2OXOBUTYRATECAT-PWY	Carboxylate-Degradation
PWY-2361	Carboxylate-Degradation
PWY-7948	Carboxylate-Degradation
PWY0-1313	Carboxylate-Degradation
PWY-6373	Carboxylate-Degradation
PWY-8180	Carboxylate-Degradation
PWY-6038	Carboxylate-Degradation
PWY0-43	Carboxylate-Degradation
PWY-301	Carboxylate-Degradation
PWY-8485	Carboxylate-Degradation
PWY-8486	Carboxylate-Degradation
PWY-8091	Carboxylate-Degradation
PWY-8090	Carboxylate-Degradation
PWY-8092	Carboxylate-Degradation
PWY-7872	Carboxylate-Degradation
PWY-7873	Carboxylate-Degradation
GALACTARDEG-PWY	Carboxylate-Degradation
PWY-6497	Carboxylate-Degradation
GALACTCAT-PWY	Carboxylate-Degradation
GLUCARDEG-PWY	Carboxylate-Degradation
PWY-6499	Carboxylate-Degradation
GLUCONSUPER-PWY	Carboxylate-Degradation
PWY-7310	Carboxylate-Degradation
PWY0-1465	Carboxylate-Degradation
PWY-7871	Carboxylate-Degradation
PWY1G01-4	Carboxylate-Degradation
PWY-5177	Carboxylate-Degradation
GLYCOLATEMET-PWY	Carboxylate-Degradation
GLYOXDEG-PWY	Carboxylate-Degradation
PWY-6649	Carboxylate-Degradation
PWY-5749	Carboxylate-Degradation
PWY0-301	Carboxylate-Degradation
PWY-6961	Carboxylate-Degradation
PWY-6960	Carboxylate-Degradation
PWY-6704	Carboxylate-Degradation
PWY-6959	Carboxylate-Degradation
PWY0-1306	Carboxylate-Degradation
PWY-7566	Carboxylate-Degradation
IDNCAT-PWY	Carboxylate-Degradation
PWY-7516	Carboxylate-Degradation
PWY-7686	Carboxylate-Degradation
PWY-7874	Carboxylate-Degradation
PWY-5794	Carboxylate-Degradation
PWY-6060	Carboxylate-Degradation
PWY-5074	Carboxylate-Degradation
PWY-6021	Carboxylate-Degradation
PWY-6694	Carboxylate-Degradation
PWY-6695	Carboxylate-Degradation
PWY-6696	Carboxylate-Degradation
PWY-6697	Carboxylate-Degradation
PWY-6698	Carboxylate-Degradation
PWY-7985	Carboxylate-Degradation
PWY-8085	Carboxylate-Degradation
PROPIONMET-PWY	Carboxylate-Degradation
PWY-7574	Carboxylate-Degradation
PWY-5130	Carboxylate-Degradation
KETOGLUCONMET-PWY	Carboxylate-Degradation
ACETATEUTIL-PWY	Carboxylate-Degradation
P441-PWY	Carboxylate-Degradation
GLUCARGALACTSUPER-PWY	Carboxylate-Degradation
PWY-6626	Cell-Structure-Biosynthesis
PWY-6459	Cell-Structure-Biosynthesis
PWY-6461	Cell-Structure-Biosynthesis
PWY-6462	Cell-Structure-Biosynthesis
PWY-6463	Cell-Structure-Biosynthesis
PWY0-1586	Cell-Structure-Biosynthesis
PWY-7819	Cell-Structure-Biosynthesis
TEICHOICACID-PWY	Cell-Structure-Biosynthesis
PWY-7815	Cell-Structure-Biosynthesis
PWY-7816	Cell-Structure-Biosynthesis
PWY-8439	Cell-Structure-Biosynthesis
PWY-7818	Cell-Structure-Biosynthesis
PWY-7820	Cell-Structure-Biosynthesis
PWY-7817	Cell-Structure-Biosynthesis
PWY-6387	Cell-Structure-Biosynthesis
PWY-6386	Cell-Structure-Biosynthesis
PWY-7953	Cell-Structure-Biosynthesis
PWY-5800	Cell-Structure-Biosynthesis
PWY2B4Q-6	Cell-Structure-Biosynthesis
KDOSYN-PWY	Cell-Structure-Biosynthesis
PWY-8284	Cell-Structure-Biosynthesis
PWY2DNV-1	Cell-Structure-Biosynthesis
PWY-7675	Cell-Structure-Biosynthesis
PWY-8246	Cell-Structure-Biosynthesis
PWY-8074	Cell-Structure-Biosynthesis
PWY-8284-1	Cell-Structure-Biosynthesis
PWY-7676	Cell-Structure-Biosynthesis
PWY-6397	Cell-Structure-Biosynthesis
PWY-6467	Cell-Structure-Biosynthesis
PWY-282	Cell-Structure-Biosynthesis
PWY-321	Cell-Structure-Biosynthesis
KDO-LIPASYN-PWY	Cell-Structure-Biosynthesis
PWY-8285	Cell-Structure-Biosynthesis
PWY2DNV-2	Cell-Structure-Biosynthesis
PWY-8247	Cell-Structure-Biosynthesis
PWY-8075	Cell-Structure-Biosynthesis
PWY2DNV-3	Cell-Structure-Biosynthesis
PWY-8378	Cell-Structure-Biosynthesis
PWY2G6Z-4	Cell-Structure-Biosynthesis
PWY2B4Q-4	Cell-Structure-Biosynthesis
NAGLIPASYN-PWY	Cell-Structure-Biosynthesis
PWY-8283	Cell-Structure-Biosynthesis
PWYI-14	Cell-Structure-Biosynthesis
PWY-8245	Cell-Structure-Biosynthesis
PWY-8073	Cell-Structure-Biosynthesis
PWY2G6Z-2	Cell-Structure-Biosynthesis
KDO-NAGLIPASYN-PWY	Cell-Structure-Biosynthesis
PWY-7120	Cell-Structure-Biosynthesis
PWY-6733	Cell-Structure-Biosynthesis
PWY-1121	Cell-Structure-Biosynthesis
PEPTIDOGLYCANSYN-PWY	Cell-Structure-Biosynthesis
PWY-5265	Cell-Structure-Biosynthesis
PWY-6385	Cell-Structure-Biosynthesis
12DICHLORETHDEG-PWY	CHLORINATED-COMPOUNDS-DEG
PWY-7425	CHLORINATED-COMPOUNDS-DEG
PWY-7428	CHLORINATED-COMPOUNDS-DEG
PWY-5370	CHLORINATED-COMPOUNDS-DEG
PWY-5372	CHLORINATED-COMPOUNDS-DEG
GAMMAHEXCHLORDEG-PWY	CHLORINATED-COMPOUNDS-DEG
PCPDEG-PWY	CHLORINATED-COMPOUNDS-DEG
PCEDEG-PWY	CHLORINATED-COMPOUNDS-DEG
PWY-5822	CHLORINATED-COMPOUNDS-DEG
PWY-6099	CHLORINATED-COMPOUNDS-DEG
PWY-6091	CHLORINATED-COMPOUNDS-DEG
PWY-6090	CHLORINATED-COMPOUNDS-DEG
PWY-6081	CHLORINATED-COMPOUNDS-DEG
14DICHLORBENZDEG-PWY	CHLORINATED-COMPOUNDS-DEG
PWY-6200	CHLORINATED-COMPOUNDS-DEG
PWY-6178	CHLORINATED-COMPOUNDS-DEG
PWY-6085	CHLORINATED-COMPOUNDS-DEG
PWY-6190	CHLORINATED-COMPOUNDS-DEG
PWY-6191	CHLORINATED-COMPOUNDS-DEG
PWY-8487	CHLORINATED-COMPOUNDS-DEG
PWY-6221	CHLORINATED-COMPOUNDS-DEG
PWY-6094	CHLORINATED-COMPOUNDS-DEG
PWY-6217	CHLORINATED-COMPOUNDS-DEG
PWY-6192	CHLORINATED-COMPOUNDS-DEG
PWY-7512	CHLORINATED-COMPOUNDS-DEG
PWY-6084	CHLORINATED-COMPOUNDS-DEG
PWY-6088	CHLORINATED-COMPOUNDS-DEG
PWY-6216	CHLORINATED-COMPOUNDS-DEG
PWY-6228	CHLORINATED-COMPOUNDS-DEG
PWY-6089	CHLORINATED-COMPOUNDS-DEG
PWY-6193	CHLORINATED-COMPOUNDS-DEG
PWY-6214	CHLORINATED-COMPOUNDS-DEG
PWY-6103	CHLORINATED-COMPOUNDS-DEG
PWY-6104	CHLORINATED-COMPOUNDS-DEG
PWY-6093	CHLORINATED-COMPOUNDS-DEG
PWY-6086	CHLORINATED-COMPOUNDS-DEG
PWY-6215	CHLORINATED-COMPOUNDS-DEG
PWY-6087	CHLORINATED-COMPOUNDS-DEG
PWY-6102	CHLORINATED-COMPOUNDS-DEG
PWY-7771	CHLORINATED-COMPOUNDS-DEG
PWY-6197	CHLORINATED-COMPOUNDS-DEG
PWY-6083	CHLORINATED-COMPOUNDS-DEG
PWY-6107	CHLORINATED-COMPOUNDS-DEG
PWY-7823	CHLORINATED-COMPOUNDS-DEG
PWY-7496	CHLORINATED-COMPOUNDS-DEG
PWY-7043	Cofactor-Biosynthesis
PWY-5837	Cofactor-Biosynthesis
PWY-7965	Cofactor-Biosynthesis
PWY-8113	Cofactor-Biosynthesis
PWY-6890	Cofactor-Biosynthesis
PWY-7282	Cofactor-Biosynthesis
PWY-7963	Cofactor-Biosynthesis
PWY-5523	Cofactor-Biosynthesis
PWY-7729	Cofactor-Biosynthesis
PWY-7374	Cofactor-Biosynthesis
PWY-7371	Cofactor-Biosynthesis
PWY-8097	Cofactor-Biosynthesis
PWY-7969	Cofactor-Biosynthesis
PWY-8095	Cofactor-Biosynthesis
PWY-7966	Cofactor-Biosynthesis
PWY-8096	Cofactor-Biosynthesis
PWY-7967	Cofactor-Biosynthesis
PWY-7968	Cofactor-Biosynthesis
PWY-8364	Cofactor-Biosynthesis
PWY-7864	Cofactor-Biosynthesis
PWY-7964	Cofactor-Biosynthesis
PWY-5509	Cofactor-Biosynthesis
PWY-7975	Cofactor-Biosynthesis
PWY-6268	Cofactor-Biosynthesis
PWY-7962	Cofactor-Biosynthesis
PWY-8282	Cofactor-Biosynthesis
PWY-7971	Cofactor-Biosynthesis
PWY-7972	Cofactor-Biosynthesis
PWY-5443	Cofactor-Biosynthesis
PWY-7378	Cofactor-Biosynthesis
PWY-6899	Cofactor-Biosynthesis
PWY-7970	Cofactor-Biosynthesis
PWY-7993	Cofactor-Biosynthesis
PWY0-1507	Cofactor-Biosynthesis
PWY-7380	Cofactor-Biosynthesis
PWY-8128	Cofactor-Biosynthesis
PWY-7639	Cofactor-Biosynthesis
PWY-8164	Cofactor-Biosynthesis
PWY-8168	Cofactor-Biosynthesis
PWY-8167	Cofactor-Biosynthesis
P2-PWY	Cofactor-Biosynthesis
PWY-7377	Cofactor-Biosynthesis
PWY-7376	Cofactor-Biosynthesis
PWY-7974	Cofactor-Biosynthesis
COA-PWY	Cofactor-Biosynthesis
PWY-7851	Cofactor-Biosynthesis
PWY-8342	Cofactor-Biosynthesis
P241-PWY	Cofactor-Biosynthesis
PWY-5207	Cofactor-Biosynthesis
PWY-7865	Cofactor-Biosynthesis
PWY-7866	Cofactor-Biosynthesis
PWY-7867	Cofactor-Biosynthesis
PWY-7868	Cofactor-Biosynthesis
P261-PWY	Cofactor-Biosynthesis
PWY-6643	Cofactor-Biosynthesis
PWY-8163	Cofactor-Biosynthesis
PWY-6476	Cofactor-Biosynthesis
PWY-8165	Cofactor-Biosynthesis
PWY-7268	Cofactor-Biosynthesis
PWY3O-6	Cofactor-Biosynthesis
PWY-7997	Cofactor-Biosynthesis
PWY-5853	Cofactor-Biosynthesis
PWY-7372	Cofactor-Biosynthesis
PWY-5852	Cofactor-Biosynthesis
PWY-6262	Cofactor-Biosynthesis
PWY-5851	Cofactor-Biosynthesis
PWY-8159	Cofactor-Biosynthesis
PWY-5663	Cofactor-Biosynthesis
PWY-8112	Cofactor-Biosynthesis
PWY-5198	Cofactor-Biosynthesis
PWY-5199	Cofactor-Biosynthesis
PWY-7710	Cofactor-Biosynthesis
RIBOSYN2-PWY	Cofactor-Biosynthesis
PWY-6167	Cofactor-Biosynthesis
PWY-6168	Cofactor-Biosynthesis
PWY66-366	Cofactor-Biosynthesis
PWY-2161	Cofactor-Biosynthesis
PWY-2201	Cofactor-Biosynthesis
PWY-3841	Cofactor-Biosynthesis
1CMET2-PWY	Cofactor-Biosynthesis
PWY-2161B	Cofactor-Biosynthesis
PWY-5964	Cofactor-Biosynthesis
PWY-6910	Cofactor-Biosynthesis
PWY-7928	Cofactor-Biosynthesis
PWY0-501	Cofactor-Biosynthesis
PWY0-1275	Cofactor-Biosynthesis
PWY-6987	Cofactor-Biosynthesis
PWY-7382	Cofactor-Biosynthesis
PWY0-501-1	Cofactor-Biosynthesis
PWY0-522	Cofactor-Biosynthesis
PWY-6984	Cofactor-Biosynthesis
PWY-5796	Cofactor-Biosynthesis
PWY-5890	Cofactor-Biosynthesis
PWY-5891	Cofactor-Biosynthesis
PWY-5892	Cofactor-Biosynthesis
PWY-5895	Cofactor-Biosynthesis
PWY-7996	Cofactor-Biosynthesis
PWY-7998	Cofactor-Biosynthesis
PWY-5849	Cofactor-Biosynthesis
PWY-5839	Cofactor-Biosynthesis
MENAQUINONESYN-PWY	Cofactor-Biosynthesis
PWY-5844	Cofactor-Biosynthesis
PWY-5254	Cofactor-Biosynthesis
PWY-7269	Cofactor-Biosynthesis
PWY-8171	Cofactor-Biosynthesis
PWY-5963	Cofactor-Biosynthesis
PWY-6823	Cofactor-Biosynthesis
PWY-8122	Cofactor-Biosynthesis
PWY-5653	Cofactor-Biosynthesis
NAD-BIOSYNTHESIS-III	Cofactor-Biosynthesis
PYRIDNUCSYN-PWY	Cofactor-Biosynthesis
PWY-8352	Cofactor-Biosynthesis
PWY-8277	Cofactor-Biosynthesis
NADPHOS-DEPHOS-PWY	Cofactor-Biosynthesis
NADPHOS-DEPHOS-PWY-1	Cofactor-Biosynthesis
PWY-5381	Cofactor-Biosynthesis
PYRIDNUCSAL-PWY	Cofactor-Biosynthesis
PWY-7761	Cofactor-Biosynthesis
NAD-BIOSYNTHESIS-II	Cofactor-Biosynthesis
PWY3O-4106	Cofactor-Biosynthesis
PWY3O-4107	Cofactor-Biosynthesis
PWY-8148	Cofactor-Biosynthesis
PWY3O-224	Cofactor-Biosynthesis
PWY-8319	Cofactor-Biosynthesis
PWY-7781	Cofactor-Biosynthesis
PWY-7961	Cofactor-Biosynthesis
PANTO-PWY	Cofactor-Biosynthesis
PWY-3961	Cofactor-Biosynthesis
PWY-6654	Cofactor-Biosynthesis
PWY-5027	Cofactor-Biosynthesis
PWY-1581	Cofactor-Biosynthesis
PWY-6978	Cofactor-Biosynthesis
PWY0-1597	Cofactor-Biosynthesis
PYRIDOXSYN-PWY	Cofactor-Biosynthesis
PWY-6466	Cofactor-Biosynthesis
PLPSAL-PWY	Cofactor-Biosynthesis
PWY-7204	Cofactor-Biosynthesis
PWY-6420	Cofactor-Biosynthesis
PWY-6872	Cofactor-Biosynthesis
PWY-6875	Cofactor-Biosynthesis
PWY-6857	Cofactor-Biosynthesis
PWY-5888	Cofactor-Biosynthesis
PWY-5889	Cofactor-Biosynthesis
SAM-PWY	Cofactor-Biosynthesis
PWY-6151	Cofactor-Biosynthesis
PWY-5041	Cofactor-Biosynthesis
PWY-6614	Cofactor-Biosynthesis
PWY2DNV-11	Cofactor-Biosynthesis
PWY-6613	Cofactor-Biosynthesis
PWY-6148	Cofactor-Biosynthesis
PWY-8099	Cofactor-Biosynthesis
PWY-8456	Cofactor-Biosynthesis
PWY-7042	Cofactor-Biosynthesis
PWY-6861	Cofactor-Biosynthesis
PWY-7041	Cofactor-Biosynthesis
PWY-6894	Cofactor-Biosynthesis
PWY-6893	Cofactor-Biosynthesis
PWY-6907	Cofactor-Biosynthesis
PWY-6908	Cofactor-Biosynthesis
PWY-6896	Cofactor-Biosynthesis
PWY-6898	Cofactor-Biosynthesis
PWY-7356	Cofactor-Biosynthesis
PWY-8457	Cofactor-Biosynthesis
PWY-6892	Cofactor-Biosynthesis
PWY-6891	Cofactor-Biosynthesis
PWY-6909	Cofactor-Biosynthesis
PWY-8308	Cofactor-Biosynthesis
PWY-6983	Cofactor-Biosynthesis
PWY-5857	Cofactor-Biosynthesis
PWY-5872	Cofactor-Biosynthesis
PWY3O-19	Cofactor-Biosynthesis
PWY-7230	Cofactor-Biosynthesis
PWY-5855	Cofactor-Biosynthesis
PWY-5873	Cofactor-Biosynthesis
PWY-6708	Cofactor-Biosynthesis
PWY-5870	Cofactor-Biosynthesis
PWY-5856	Cofactor-Biosynthesis
PWY-5871	Cofactor-Biosynthesis
PWY-1422	Cofactor-Biosynthesis
PWY-7436	Cofactor-Biosynthesis
PWY-7999	Cofactor-Biosynthesis
PWY-7250	Cofactor-Biosynthesis
PWY-882	Cofactor-Biosynthesis
PWY4FS-11	Cofactor-Biosynthesis
PWY-5521	Cofactor-Biosynthesis
PWY3DJ-35471	Cofactor-Biosynthesis
PWY-6415	Cofactor-Biosynthesis
PWY-8142	Cofactor-Biosynthesis
PWY-8143	Cofactor-Biosynthesis
PWY-7165	Cofactor-Biosynthesis
PWY-6076	Cofactor-Biosynthesis
PWY-5083	Cofactor-Biosynthesis
PWY-5785	Cofactor-Biosynthesis
PWY-6383	Cofactor-Biosynthesis
PWY-8063	Cofactor-Biosynthesis
PWY-8057	Cofactor-Biosynthesis
PWY-5507	Cofactor-Biosynthesis
P381-PWY	Cofactor-Biosynthesis
BIOTIN-BIOSYNTHESIS-PWY	Cofactor-Biosynthesis
PWY-5005	Cofactor-Biosynthesis
NADSYN-PWY	Cofactor-Biosynthesis
COBALSYN-PWY	Cofactor-Biosynthesis
PWY-6269	Cofactor-Biosynthesis
PANTOSYN-PWY	Cofactor-Biosynthesis
PWY-4221	Cofactor-Biosynthesis
COA-PWY-1	Cofactor-Biosynthesis
PWY-5860	Cofactor-Biosynthesis
PWY-7373	Cofactor-Biosynthesis
PWY-5861	Cofactor-Biosynthesis
PWY-5862	Cofactor-Biosynthesis
PWY-5896	Cofactor-Biosynthesis
PWY-5897	Cofactor-Biosynthesis
PWY-5898	Cofactor-Biosynthesis
PWY-5899	Cofactor-Biosynthesis
PWY-5850	Cofactor-Biosynthesis
PWY-5840	Cofactor-Biosynthesis
PWY-5838	Cofactor-Biosynthesis
PWY-6263	Cofactor-Biosynthesis
PWY-7992	Cofactor-Biosynthesis
PWY-5845	Cofactor-Biosynthesis
PWY-3502	Cofactor-Biosynthesis
PWY-7245	Cofactor-Biosynthesis
PWY-5863	Cofactor-Biosynthesis
PWY-5864	Cofactor-Biosynthesis
PWY0-845	Cofactor-Biosynthesis
MET-SAM-PWY	Cofactor-Biosynthesis
PWY-6612	Cofactor-Biosynthesis
FOLSYN-PWY	Cofactor-Biosynthesis
THISYN-PWY	Cofactor-Biosynthesis
PWY-6895	Cofactor-Biosynthesis
THISYNARA-PWY	Cofactor-Biosynthesis
PWY-7235	Cofactor-Biosynthesis
UBISYN-PWY	Cofactor-Biosynthesis
PWY-7357	Cofactor-Biosynthesis
PWY-6897	Cofactor-Biosynthesis
PWY-5196	Cofactor-Biosynthesis
PWY-7856	Cofactor-Biosynthesis
HEME-BIOSYNTHESIS-II	Cofactor-Biosynthesis
HEMESYN2-PWY	Cofactor-Biosynthesis
PWY-7552	Cofactor-Biosynthesis
PWY-7766	Cofactor-Biosynthesis
HEME-BIOSYNTHESIS-II-1	Cofactor-Biosynthesis
PWY-7554	Cofactor-Biosynthesis
PWY-8147	Cofactor-Biosynthesis
PWY-8146	Cofactor-Biosynthesis
PWY-8145	Cofactor-Biosynthesis
